task,req_skill
1,4
2,3
3,4
4,1
5,1
6,1
7,1
8,2
9,3
10,1
11,3
12,4
13,1
14,1
15,4
16,3
17,1
18,3
19,3
20,1
21,4
22,1
23,3
24,2
25,1
26,3
27,2
28,4
29,2
30,2
31,2
32,3
33,2
34,1
35,2
36,3
37,3
38,1
39,1
40,3
41,2
42,1
43,3
44,2
45,1
46,4
47,2
48,1
49,2
50,3
51,2
52,2
53,3
54,3
55,1
56,2
57,3
58,3
59,3
60,4
61,4
62,2
63,4
64,3
65,4
66,4
67,4
68,3
69,1
70,4
71,3
72,3
73,2
74,3
75,4
76,1
77,3
78,4
79,1
80,3
81,1
82,2
83,3
84,4
85,2
86,4
87,2
88,2
89,1
90,4
91,3
92,3
93,1
94,4
95,1
96,2
97,4
98,4
99,4
100,3
