task,budget
1,220179.33
2,207662.879
3,551648.749
4,479740.884
5,194523.776
6,551428.421
7,599881.927
8,508619.633
9,373858.275
10,568251.761
11,278905.378
12,288014.435
13,340422.029
14,354546.909
15,576054.237
16,100231.029
17,168879.693
18,589853.335
19,389932.851
20,432242.566
21,178428.111
22,502823.244
23,536067.143
24,383856.24
25,416905.277
26,443584.141
27,255288.653
28,288326.688
29,509866.149
30,580283.126
31,154581.613
32,505867.002
33,211149.312
34,138657.564
35,537095.013
36,132791.353
37,519164.315
38,395110.187
39,237562.425
40,353423.01
41,310259.443
42,252117.334
43,578226.238
44,592818.228
45,542464.86
46,293397.511
47,265677.108
48,138085.343
49,565900.956
50,567442.496
51,372525.617
52,496780.339
53,126850.192
54,133010.005
55,410839.643
56,501896.884
57,464970.134
58,487722.317
59,395581.534
60,501953.948
61,591457.918
62,181488.58
63,306722.355
64,227823.551
65,403756.939
66,199202.544
67,560889.795
68,489938.075
69,597746.71
70,258008.534
71,598490.462
72,320114.542
73,498892.249
74,104293.88
75,178724.797
76,581538.263
77,483200.675
78,550466.186
79,477439.18
80,338583.826
81,350022.923
82,280650.269
83,342411.95
84,456641.805
85,529311.943
86,515239.955
87,293324.58
88,384371.139
89,418004.291
90,487689.55
91,116136.762
92,464314.31
93,164893.419
94,356532.983
95,463850.595
96,419906.194
97,534869.159
98,460061.699
99,210485.634
100,383190.269
101,319185.987
102,593177.564
103,518445.253
104,152875.777
105,223702.63
106,576392.895
107,596267.802
108,291575.014
109,539346.705
110,579180.705
111,569399.826
112,259994.944
113,493032.249
114,494618.146
115,274753.075
116,459041.827
117,428852.02
118,300055.179
119,552670.893
120,393854.334
121,479145.871
122,537285.191
123,420295.752
124,306989.949
125,284234.001
126,320540.836
127,109444.002
128,230663.727
129,254658.848
130,326928.181
131,388200.377
132,511670.667
133,356656.845
134,394936.011
135,303991.424
136,415385.209
137,256611.51
138,333988.453
139,350090.339
140,577471.874
141,372849.318
142,557372.28
143,329896.016
144,415028.634
145,117346.989
146,421239.174
147,567277.856
148,262178.737
149,346246.995
150,446134.336
151,584736.011
152,371174.954
153,104738.665
154,286358.727
155,428325.241
156,280321.095
157,422897.538
158,331437.76
159,306807.281
160,484624.901
161,433962.73
162,573283.0
163,209642.368
164,414725.918
165,176565.722
166,518489.284
167,159401.437
168,534623.769
169,521156.193
170,381132.1
171,109172.587
172,237009.703
173,572586.466
174,344129.905
175,320402.663
176,584645.484
177,319155.072
178,363268.259
179,324599.564
180,282243.702
181,297190.15
182,523800.649
183,455829.692
184,454100.882
185,509434.664
186,454184.883
187,290814.274
188,508139.778
189,253945.847
190,136017.793
191,415735.394
192,326819.393
193,488996.844
194,323240.707
195,423249.465
196,417462.405
197,336335.645
198,249801.228
199,468447.956
200,275905.584
201,191464.483
202,345436.771
203,391376.013
204,370719.881
205,106647.595
206,133176.586
207,294620.368
208,328744.122
209,337719.106
210,415594.321
211,503090.654
212,177084.928
213,316650.881
214,551881.452
215,395891.342
216,115328.72
217,537612.403
218,421538.268
219,252306.006
220,123752.453
221,268751.187
222,343184.85
223,574931.84
224,390369.279
225,382610.173
226,595059.678
227,114938.358
228,133381.673
229,590502.815
230,507854.566
231,547653.873
232,261609.371
233,465718.523
234,154764.587
235,520514.479
236,283777.672
237,232827.651
238,420442.105
239,310109.869
240,249490.475
241,317870.133
242,184434.404
243,212918.462
244,501550.394
245,514965.173
246,456617.037
247,484085.253
248,107696.409
249,227919.124
250,263690.489
251,185358.968
252,336135.067
253,277654.949
254,483398.573
255,126488.673
256,224267.046
257,568383.663
258,243104.106
259,466264.993
260,373895.448
261,199419.293
262,182719.266
263,250118.542
264,251634.18
265,209167.985
266,478732.595
267,461465.875
268,170394.118
269,424819.844
270,400953.183
271,117428.928
272,361981.904
273,453583.061
274,145575.651
275,150091.873
276,408654.824
277,305057.84
278,199899.974
279,403890.257
280,246190.533
281,230426.268
282,153956.32
283,431379.088
284,369301.607
285,597214.309
286,169635.994
287,507807.095
288,405467.136
289,475792.568
290,271017.107
291,136209.896
292,360618.669
293,175242.668
294,518848.991
295,553429.813
296,101602.864
297,446339.226
298,349280.061
299,571598.582
300,110377.138
