task,req_skill
1,3
1,7
1,5
1,10
1,1
2,1
2,2
2,6
2,5
2,9
3,9
3,2
3,8
3,4
3,1
4,10
4,5
5,4
5,7
5,1
6,8
6,1
6,5
6,10
7,10
7,2
7,7
7,9
7,6
8,1
8,7
9,1
9,3
10,10
10,7
10,9
11,6
12,6
12,9
12,1
12,7
12,10
13,2
13,8
14,8
14,10
14,4
14,3
14,7
15,9
16,7
17,9
17,7
17,4
17,1
17,6
18,8
18,2
18,3
18,5
18,1
19,5
19,2
19,10
19,1
20,6
21,10
21,4
21,7
21,2
22,2
22,8
22,4
23,2
23,5
23,9
23,4
23,6
24,4
24,6
24,5
24,2
24,7
25,5
25,3
25,4
25,9
25,7
26,3
27,8
27,6
28,8
28,10
28,3
29,5
29,8
29,1
30,3
30,5
30,4
31,4
31,9
32,8
32,2
32,4
32,9
32,6
33,7
34,8
34,6
34,10
34,4
34,2
35,10
35,2
35,7
35,9
36,10
36,5
37,9
37,2
37,4
37,8
37,3
38,9
38,5
38,7
39,10
39,1
40,10
40,5
40,2
40,7
41,9
41,10
42,6
42,5
42,9
42,7
42,2
43,6
43,8
43,7
43,4
43,2
44,8
44,5
44,1
44,2
45,5
46,4
46,2
46,1
46,7
46,6
47,10
47,8
48,7
48,4
49,8
50,5
50,1
50,4
51,3
51,8
51,10
51,2
52,2
52,9
52,4
52,10
52,7
53,10
53,7
53,8
53,4
54,6
55,1
55,3
55,9
55,7
55,2
56,8
57,9
57,7
57,6
58,10
58,4
58,9
59,3
60,9
61,8
61,9
61,7
61,4
61,3
62,8
62,2
62,9
63,2
63,10
63,5
63,9
63,6
64,7
64,1
65,10
66,2
66,9
67,8
67,3
67,9
68,10
68,5
68,4
68,1
69,10
69,2
69,7
69,1
70,4
70,9
70,7
70,2
70,1
71,2
71,3
71,4
71,6
71,10
72,10
73,6
73,3
74,2
74,10
74,7
74,8
74,1
75,1
76,4
76,6
76,5
77,5
78,2
78,7
78,6
78,8
78,9
79,6
79,2
80,1
80,3
80,7
81,8
81,7
81,1
82,10
82,6
82,8
82,3
83,5
83,9
83,8
84,6
84,10
84,8
84,3
85,9
85,7
85,10
85,1
85,2
86,1
87,5
87,3
87,7
88,3
88,1
88,7
88,4
89,3
89,9
89,4
89,7
90,4
90,9
90,8
90,10
90,2
91,10
92,6
92,3
92,2
93,8
93,4
93,6
94,5
94,3
94,2
94,1
95,7
95,9
96,8
97,9
98,9
98,8
98,2
98,3
98,5
99,4
100,2
100,7
100,8
101,8
101,7
101,1
101,9
101,2
102,9
102,4
102,5
102,6
102,2
103,9
103,2
103,4
103,5
104,7
104,3
104,1
104,4
104,5
105,8
105,4
105,9
105,3
105,7
106,3
106,10
106,1
107,6
107,3
108,10
108,4
108,9
109,8
109,10
109,6
110,5
110,8
110,4
111,3
111,9
111,1
112,9
113,2
113,8
114,3
114,5
114,9
115,5
115,2
115,10
115,9
115,8
116,7
117,2
118,6
118,7
118,9
119,8
119,6
119,3
120,7
121,3
121,2
121,4
121,10
121,8
122,7
123,9
123,8
123,10
123,6
124,8
124,9
125,1
126,1
126,3
126,6
126,7
126,4
127,6
127,2
127,1
128,7
128,5
128,10
128,6
128,2
129,1
129,3
129,2
129,5
129,10
130,9
130,3
130,5
130,1
130,10
131,4
132,7
132,5
133,5
133,7
133,9
133,2
133,6
134,2
134,3
134,4
135,1
136,2
136,8
136,6
136,9
136,4
137,6
137,8
138,9
138,1
138,3
138,7
139,5
139,7
139,9
139,4
139,6
140,1
140,5
140,10
141,9
142,6
142,2
142,1
142,3
142,5
143,4
143,2
143,6
143,5
143,9
144,2
144,9
144,3
145,9
145,5
145,8
146,4
146,2
146,5
147,3
147,8
147,1
147,9
148,10
149,8
149,4
149,10
150,7
150,3
151,2
151,6
151,9
152,10
153,5
153,3
154,8
154,7
154,9
155,4
155,5
156,6
157,3
157,6
157,2
157,8
158,8
158,7
159,9
160,5
160,1
160,4
161,2
161,4
161,5
161,10
162,9
163,4
164,5
164,4
164,9
164,2
164,8
165,7
165,4
165,3
166,4
167,4
167,8
167,7
167,5
168,3
169,7
169,4
169,1
169,5
169,8
170,1
170,3
170,7
170,9
170,2
171,3
171,1
171,8
172,3
172,4
172,6
172,9
173,10
173,5
174,10
174,7
174,6
174,4
175,9
175,10
175,4
176,5
176,4
176,2
176,7
176,8
177,9
177,8
177,10
177,3
178,3
179,5
180,1
180,7
180,4
181,3
181,10
182,3
183,4
183,6
183,9
184,3
184,7
185,2
185,9
185,7
185,4
185,3
186,6
186,8
187,10
187,2
187,7
187,4
188,3
189,3
189,8
189,2
189,9
189,10
190,5
190,3
191,4
191,3
191,5
192,10
193,8
193,10
194,10
194,4
195,1
195,2
195,7
195,5
195,9
196,7
196,3
196,5
196,9
197,6
198,10
198,3
198,5
199,6
199,3
199,7
199,9
200,2
201,5
202,7
202,10
203,1
204,8
204,3
205,2
205,9
205,10
205,8
206,5
207,6
207,8
208,1
209,3
209,1
209,9
209,6
209,10
210,2
210,5
210,1
210,10
210,7
211,4
211,8
211,3
211,5
212,1
212,8
212,3
212,2
213,1
213,9
213,2
214,7
214,5
215,10
215,7
215,3
215,2
215,4
216,2
216,6
217,3
217,4
217,8
218,10
219,8
219,5
219,3
220,4
220,10
221,10
221,7
221,2
221,9
221,5
222,10
222,9
223,3
223,6
224,1
224,6
224,3
224,10
224,8
225,3
225,8
225,1
226,2
226,1
226,8
227,5
227,1
227,4
228,1
228,3
228,7
229,5
229,6
229,3
230,2
231,4
231,9
231,8
232,10
232,6
233,7
233,6
233,9
233,1
234,1
234,10
234,2
235,5
235,8
235,2
235,7
236,9
236,1
236,3
237,4
237,7
237,1
237,6
238,5
238,10
238,3
239,9
240,6
240,5
240,9
240,3
240,10
241,8
241,9
241,10
242,5
242,4
242,9
242,10
242,3
243,10
244,1
244,6
244,4
245,1
246,10
246,1
246,6
246,2
247,7
247,2
247,4
247,9
247,3
248,4
248,2
248,10
248,9
249,2
249,3
249,7
249,4
249,1
250,10
251,6
251,8
251,10
251,7
252,1
252,4
252,6
253,8
254,8
254,4
254,3
255,8
255,3
255,1
255,4
256,8
256,9
256,6
257,7
258,10
258,6
258,9
258,2
258,1
259,2
259,9
259,4
260,6
260,7
260,2
260,10
261,3
261,5
261,7
262,8
262,6
262,1
262,4
263,5
263,9
263,2
264,10
264,1
264,8
264,3
264,9
265,7
266,9
266,5
266,6
267,8
267,5
268,6
269,5
269,9
269,4
269,1
269,7
270,9
270,2
271,5
271,7
271,3
271,10
272,4
273,10
273,1
274,1
274,5
274,10
275,8
275,7
276,6
276,3
276,2
276,8
277,6
278,6
278,7
278,10
278,9
278,8
279,4
279,10
280,2
280,1
280,4
280,9
281,6
281,5
281,9
281,2
282,2
282,10
282,1
282,8
282,4
283,1
283,8
283,5
283,2
284,6
284,7
284,3
284,8
284,1
285,7
285,8
285,2
285,6
286,10
286,7
286,4
286,6
287,8
287,7
288,3
288,1
288,2
289,5
289,3
289,7
289,8
290,8
290,7
291,10
291,3
291,4
292,2
292,8
293,2
293,4
294,9
294,6
295,9
295,10
295,4
295,6
296,2
296,7
297,3
297,10
297,8
297,6
297,7
298,9
298,3
298,6
298,8
299,1
300,4
300,10
300,5
300,1
