worker,cost
1,8.688
2,5.455
3,5.482
4,6.254
5,7.633
6,6.936
7,7.437
8,7.487
9,7.606
10,6.977
11,9.207
12,6.701
13,8.818
14,7.749
15,8.122
16,9.224
17,9.845
18,5.665
19,5.153
20,9.51
21,8.202
22,8.692
23,7.517
24,8.834
25,9.698
26,9.876
27,6.465
28,7.084
29,5.701
30,9.216
31,7.486
32,9.406
33,5.334
34,6.021
35,8.884
36,5.651
37,6.765
38,6.48
39,7.867
40,6.329
41,5.379
42,5.392
43,5.771
44,9.87
45,6.882
46,9.106
47,8.702
48,6.469
49,6.05
50,8.765
51,9.261
52,5.515
53,5.359
54,7.682
55,5.331
56,8.684
57,9.12
58,9.732
59,5.606
60,5.864
61,8.825
62,9.988
63,6.084
64,6.997
65,8.521
66,7.678
67,5.802
68,8.713
69,7.575
70,6.09
71,8.493
72,5.621
73,6.138
74,9.607
75,8.445
76,8.598
77,9.241
78,7.468
79,5.042
80,8.965
81,6.13
82,9.271
83,9.263
84,6.18
85,7.478
86,9.099
87,6.448
88,7.817
89,6.361
90,8.526
91,6.967
92,5.59
93,9.218
94,5.067
95,7.979
96,6.693
97,5.086
98,8.031
99,7.596
100,7.331
101,7.656
102,5.275
103,9.421
104,5.794
105,7.707
106,6.332
107,9.842
108,6.186
109,7.277
110,8.992
111,6.934
112,5.959
113,7.662
114,5.78
115,8.327
116,6.418
117,9.44
118,5.836
119,8.109
120,7.187
121,6.281
122,9.436
123,6.022
124,9.331
125,6.197
126,6.581
127,7.197
128,6.436
129,5.399
130,6.398
131,7.596
132,6.058
133,9.232
134,5.246
135,9.771
136,5.107
137,9.585
138,9.082
139,5.634
140,9.659
141,7.906
142,5.082
143,5.536
144,7.297
145,7.321
146,6.664
147,6.815
148,7.398
149,9.159
150,5.606
151,6.847
152,7.996
153,9.023
154,8.71
155,5.476
156,5.33
157,9.963
158,8.514
159,7.184
160,8.169
161,8.372
162,9.087
163,6.515
164,9.681
165,9.324
166,9.561
167,7.246
168,5.954
169,7.203
170,9.7
171,6.763
172,5.877
173,7.758
174,5.849
175,7.662
176,5.836
177,8.544
178,7.172
179,9.302
180,7.797
181,7.659
182,7.125
183,5.176
184,7.594
185,7.714
186,7.314
187,8.607
188,5.472
189,9.003
190,9.764
191,6.094
192,6.135
193,5.769
194,6.124
195,8.83
196,9.29
197,6.961
198,5.833
199,6.62
200,6.708
201,9.877
202,8.207
203,7.684
204,8.656
205,7.713
206,5.869
207,9.458
208,6.181
209,9.384
210,9.306
211,5.073
212,6.6
213,8.246
214,5.941
215,6.656
216,8.441
217,7.282
218,9.606
219,6.448
220,8.71
221,8.327
222,5.183
223,6.493
224,6.366
225,9.323
226,7.88
227,7.748
228,5.529
229,8.444
230,7.005
231,6.322
232,8.828
233,5.35
234,6.572
235,7.178
236,7.571
237,5.316
238,8.699
239,8.654
240,6.931
241,9.652
242,7.92
243,5.512
244,9.647
245,5.21
246,6.516
247,7.76
248,7.671
249,7.449
250,8.347
251,5.102
252,8.934
253,5.088
254,9.763
255,9.776
256,9.03
257,5.931
258,5.591
259,8.004
260,9.05
261,7.514
262,5.84
263,5.358
264,8.652
265,8.955
266,8.371
267,8.281
268,7.913
269,8.453
270,5.25
271,7.32
272,6.233
273,6.4
274,8.573
275,7.298
276,5.181
277,8.021
278,9.9
279,8.812
280,5.354
281,8.885
282,8.733
283,7.484
284,8.173
285,7.167
286,9.668
287,8.2
288,8.358
289,8.089
290,8.271
291,8.548
292,6.468
293,6.836
294,7.733
295,5.826
296,8.919
297,5.599
298,6.86
299,7.55
300,7.706
301,6.098
302,6.016
303,9.104
304,8.172
305,6.411
306,5.56
307,7.27
308,9.857
309,6.065
310,8.941
311,9.14
312,5.391
313,7.236
314,9.02
315,6.012
316,7.963
317,5.735
318,7.944
319,8.092
320,5.338
321,9.283
322,8.732
323,5.687
324,8.696
325,9.122
326,8.099
327,8.779
328,8.271
329,8.266
330,6.748
331,5.107
332,9.451
333,5.025
334,7.504
335,5.117
336,6.875
337,6.477
338,6.529
339,5.11
340,5.736
341,8.77
342,5.524
343,6.331
344,9.624
345,5.704
346,6.525
347,7.757
348,7.384
349,8.652
350,5.269
351,8.244
352,7.287
353,8.019
354,9.893
355,5.362
356,9.842
357,9.959
358,8.79
359,5.308
360,8.643
361,7.024
362,7.558
363,7.113
364,9.819
365,8.667
366,9.337
367,6.539
368,8.067
369,6.47
370,9.401
371,6.919
372,8.899
373,6.338
374,7.193
375,5.054
376,5.708
377,5.472
378,7.055
379,5.457
380,5.588
381,7.384
382,6.219
383,5.928
384,8.91
385,7.958
386,6.272
387,8.561
388,6.559
389,8.13
390,5.476
391,9.814
392,9.635
393,8.914
394,8.465
395,8.345
396,5.091
397,6.691
398,6.264
399,9.681
400,8.464
