worker,task
1,27
1,24
2,19
2,17
2,65
2,3
3,39
3,92
4,18
4,65
4,100
4,73
5,22
5,31
5,52
5,49
5,33
6,17
6,98
6,72
7,73
7,14
7,55
8,81
8,98
8,89
9,33
9,53
10,25
11,19
11,50
11,83
11,89
11,2
12,6
12,46
12,52
12,95
13,89
13,20
13,37
14,83
14,36
14,69
15,4
15,83
16,49
17,88
18,94
18,87
18,8
19,80
19,62
19,73
19,67
19,55
20,58
20,7
20,35
20,23
20,49
21,87
21,6
21,31
22,90
22,33
22,40
23,92
23,48
24,80
24,66
25,24
26,53
26,86
27,33
27,2
27,74
27,53
28,41
29,19
29,7
30,57
30,83
30,63
30,70
31,82
32,98
32,76
32,11
32,36
33,56
33,32
33,17
33,99
34,34
34,76
34,15
35,100
35,57
36,82
36,90
36,94
36,32
36,8
37,25
37,10
37,26
38,89
38,16
38,49
38,32
39,84
39,14
39,26
40,2
40,58
41,3
41,30
41,85
41,14
42,23
42,94
42,57
42,45
42,26
43,47
44,94
44,85
44,72
45,55
45,28
45,27
45,60
46,21
46,84
47,37
47,91
47,63
48,57
48,81
49,10
50,21
50,37
51,50
51,98
51,55
51,58
52,46
53,73
53,56
53,16
54,66
55,60
55,43
55,62
55,98
55,16
56,7
56,54
57,71
57,25
58,10
58,56
58,77
59,26
59,52
60,60
61,5
61,96
61,73
61,98
61,77
62,15
62,37
62,27
62,33
63,99
63,38
63,49
63,75
63,97
64,35
64,98
64,43
65,62
65,81
65,42
66,42
66,16
66,38
66,47
67,3
67,88
68,21
69,74
69,59
69,76
69,89
70,77
70,40
70,88
71,14
71,76
71,87
71,48
72,36
73,68
73,42
73,87
73,5
73,37
74,54
74,13
74,16
74,100
74,69
75,70
75,84
75,23
75,75
76,17
76,92
76,39
77,40
77,31
78,92
78,71
79,44
79,91
79,99
79,32
80,90
80,21
81,2
81,30
82,77
82,1
82,35
82,61
83,68
84,92
84,80
85,38
85,2
85,32
86,44
86,2
87,65
88,11
88,67
88,27
89,91
89,55
90,80
90,88
90,6
91,52
91,95
91,28
91,12
91,16
92,36
92,75
92,64
92,32
93,46
93,27
93,99
94,8
95,60
95,10
95,43
95,18
96,40
96,56
96,50
96,78
96,58
97,51
97,92
97,80
98,9
98,82
99,68
99,19
99,7
99,28
100,65
100,53
100,35
100,97
101,87
101,94
101,9
102,12
102,58
103,78
103,75
104,41
104,47
104,32
105,16
105,96
105,20
105,1
106,35
106,98
106,28
107,6
107,91
107,12
107,45
108,29
108,30
108,26
109,38
109,21
109,16
110,79
110,78
110,85
111,2
111,18
111,17
111,98
112,92
112,47
113,60
113,36
113,94
113,24
113,50
114,6
114,39
114,49
115,65
115,53
115,7
115,14
116,83
116,2
116,38
116,92
117,60
117,81
117,55
117,21
118,14
118,99
118,79
118,93
119,24
119,78
119,51
119,48
119,83
120,77
120,90
120,67
120,75
121,44
121,45
122,60
122,72
123,73
123,23
123,29
123,61
124,52
124,65
124,72
125,71
125,32
125,63
126,66
127,90
127,83
127,58
128,4
129,8
129,3
129,45
129,94
129,64
130,52
131,100
131,65
132,53
132,67
132,63
132,16
132,72
133,27
133,98
133,47
134,77
134,81
134,45
134,66
135,40
135,84
135,79
135,62
136,90
136,85
137,94
137,83
137,72
137,19
137,41
138,22
138,50
139,36
139,21
139,9
139,32
139,8
140,78
141,15
141,5
141,46
142,47
142,91
142,33
142,74
143,97
143,36
144,48
144,23
