task,latitude,longitude
1,27.7479,81.0163
2,22.1273,69.4233
3,17.0208,95.6024
4,10.6414,80.9143
5,31.4021,71.4382
6,20.3452,74.6769
7,13.3496,83.3952
8,13.2056,94.5805
9,30.6237,94.1535
10,17.3366,97.3465
11,29.8994,71.4744
12,22.2057,75.9931
13,8.5084,77.8501
14,19.5775,69.9641
15,28.761,75.9931
16,13.8521,69.0913
17,18.9073,86.9813
18,8.9441,86.94
19,27.5906,69.5017
20,23.4274,85.7584
21,35.0304,75.2729
22,8.8172,82.383
23,9.8407,94.6439
24,21.5554,80.9321
25,10.0776,76.2243
26,36.3869,79.082
27,31.3604,85.7129
28,16.0666,85.1302
29,31.7921,93.4073
30,12.8993,69.2913
31,35.4051,70.285
32,22.7305,73.8933
33,29.8929,76.3394
34,24.5765,73.9783
35,9.6101,93.8621
36,25.9246,80.7457
37,24.6053,86.6821
38,15.2244,85.4252
39,10.4177,84.3647
40,23.0432,71.8231
41,16.5161,78.5814
42,20.6196,89.1571
43,26.7371,91.5062
44,10.5809,88.5522
45,27.8818,76.3833
46,30.4165,95.3155
47,23.9233,91.9803
48,10.1893,84.4063
49,17.7458,93.2869
50,29.2012,73.6708
51,33.9909,75.6935
52,8.4056,72.9989
53,15.0118,77.6121
54,34.7096,75.5531
55,11.2561,71.0062
56,20.8994,96.1417
57,23.7446,87.5145
58,19.215,75.0132
59,30.2085,75.5598
60,20.4627,76.628
61,35.3133,86.3551
62,33.9205,89.8452
63,34.2952,75.4212
64,32.2913,77.2521
65,17.9753,82.7429
66,15.3475,94.9068
67,26.0657,88.1766
68,14.3353,78.9739
69,31.9703,89.1856
70,28.5039,80.9666
71,20.6223,95.7288
72,29.0601,87.9592
73,24.775,94.2158
74,20.1288,85.4917
75,28.7957,89.43
76,20.8412,80.7221
77,24.0013,87.2092
78,14.1345,84.2894
79,16.9419,79.9819
80,10.7103,91.9527
81,20.3529,97.0135
82,29.7021,71.3818
83,15.3063,90.8888
84,33.903,77.6726
85,30.8396,88.1071
86,24.7639,75.0168
87,17.4608,95.875
88,25.1106,73.9191
89,16.5738,76.7695
90,20.2185,76.3466
91,36.4492,69.4788
92,13.8668,87.4316
93,17.8488,88.1616
94,26.6364,79.1093
95,30.3386,93.0183
96,23.6382,71.9048
97,24.5946,75.2028
98,17.4971,71.9899
99,10.2341,76.2796
100,14.3717,71.6221
