task,req_skill
1,4
1,1
2,1
2,5
3,6
3,1
4,6
4,3
4,4
5,3
5,1
5,2
5,5
5,4
6,3
6,5
6,4
6,2
7,2
8,6
8,1
8,3
9,5
9,4
10,4
10,1
10,6
10,5
11,3
11,1
11,5
11,4
11,6
12,5
12,4
13,2
13,1
14,3
14,4
14,1
14,2
14,6
15,5
15,2
15,1
15,3
15,6
16,6
16,3
16,1
17,3
17,6
17,4
17,2
17,5
18,2
19,3
20,5
20,4
20,3
20,2
21,4
22,2
22,1
22,3
22,6
22,4
23,1
23,5
23,4
24,5
24,3
24,1
25,4
25,6
25,5
25,2
26,6
26,4
27,3
28,1
28,5
28,6
28,3
28,2
29,3
29,1
29,6
29,2
29,5
30,2
30,4
30,6
30,3
31,1
31,5
31,4
32,6
33,3
33,2
33,1
33,5
33,6
34,1
34,4
35,1
35,6
35,2
36,2
36,5
36,1
37,1
37,4
38,5
38,6
38,3
39,3
39,1
39,4
39,5
40,1
40,4
40,3
40,5
40,6
41,2
41,4
41,3
42,1
42,5
42,4
43,5
43,4
43,6
43,3
43,2
44,1
44,3
44,4
44,6
44,5
45,1
45,5
46,5
46,2
47,4
48,2
48,4
48,6
48,1
48,5
49,3
50,1
50,2
50,4
50,6
51,5
51,1
51,2
51,3
51,6
52,1
53,4
53,1
53,6
54,4
54,1
54,3
55,5
56,5
56,1
56,6
57,5
58,6
58,3
59,4
59,5
59,1
59,3
59,6
60,5
60,4
60,2
61,1
61,5
62,1
63,3
63,2
64,3
65,6
65,4
65,3
66,1
66,3
66,2
67,6
68,5
68,2
68,4
68,3
68,1
69,2
69,1
70,4
71,2
71,3
71,4
71,6
71,5
72,1
72,3
73,1
74,4
74,2
74,1
74,6
74,5
75,6
75,2
75,1
75,3
76,2
76,4
77,5
77,1
77,6
77,4
77,2
78,2
78,4
78,3
78,6
79,4
79,2
79,1
80,5
81,5
81,6
82,2
82,1
82,5
82,3
83,4
84,2
84,6
84,1
84,4
84,3
85,6
85,3
85,2
85,5
85,1
86,1
86,2
86,6
86,4
87,2
87,4
87,5
88,5
88,6
88,1
89,3
89,2
89,1
89,6
89,5
90,3
90,2
91,5
91,1
91,4
92,4
92,1
92,3
93,1
94,2
94,5
94,1
94,3
95,5
96,2
96,5
96,6
96,4
96,1
97,2
98,4
99,2
99,1
99,5
99,4
99,3
100,2
100,4
100,5
100,1
