task,req_skill
1,6
1,2
2,1
2,3
2,5
2,8
2,6
3,1
3,8
3,9
4,7
4,8
5,9
5,5
5,10
6,8
6,10
6,9
6,2
7,9
7,7
7,4
7,6
8,4
8,8
8,1
8,10
9,6
9,7
9,1
10,4
10,9
10,10
10,7
11,9
11,10
11,6
11,8
11,1
12,1
12,3
12,5
13,2
13,8
13,9
13,3
14,3
14,4
14,8
14,2
15,10
15,1
15,8
15,4
15,7
16,4
16,8
16,5
16,7
17,7
17,4
17,8
17,10
17,6
18,8
18,3
18,2
18,7
19,8
19,10
20,5
21,7
22,3
22,4
23,8
23,5
23,4
23,7
23,10
24,8
24,6
25,2
25,9
25,4
25,10
25,1
26,4
26,7
26,1
26,10
27,5
27,8
28,10
28,2
28,9
28,6
29,7
29,2
29,10
30,10
30,8
30,2
30,5
31,6
31,9
31,3
31,7
31,2
32,4
32,6
32,9
32,3
32,5
33,5
33,7
34,3
34,5
34,4
34,2
34,6
35,10
35,3
35,8
35,7
35,1
36,7
37,1
37,10
37,9
38,7
38,6
39,4
39,1
39,5
39,10
40,4
41,2
42,1
42,3
43,5
43,1
44,5
44,7
44,3
44,6
44,4
45,4
45,10
45,7
45,6
45,5
46,2
46,10
46,3
46,6
46,7
47,7
47,1
47,10
48,7
48,1
49,10
50,6
50,10
50,9
50,5
50,4
51,7
51,1
52,1
52,8
52,5
52,7
53,10
53,7
53,2
53,1
53,6
54,3
54,2
54,5
54,6
54,7
55,5
55,8
55,6
56,6
56,1
56,4
56,5
56,10
57,2
58,3
58,7
58,2
58,5
58,8
59,7
59,1
59,6
59,8
59,4
60,3
60,2
60,10
61,7
61,1
61,9
61,4
61,5
62,3
63,3
63,8
63,5
63,6
64,7
64,2
64,8
64,10
65,6
65,9
65,3
65,4
66,5
66,2
66,6
67,2
67,6
67,9
67,8
67,5
68,6
69,9
69,7
69,3
70,6
70,10
70,5
70,3
71,3
71,2
71,7
71,6
72,1
72,6
72,5
72,8
72,9
73,5
73,8
74,6
74,1
74,3
74,4
74,2
75,2
75,6
75,8
76,9
76,2
76,8
77,6
78,3
78,8
78,5
78,9
78,10
79,1
79,2
79,3
79,8
80,6
80,4
80,1
80,2
80,5
81,8
82,6
82,8
82,7
82,9
82,10
83,10
83,3
84,10
85,8
86,8
86,9
86,2
87,6
87,3
88,4
88,5
88,6
89,9
89,10
89,4
89,8
89,1
90,7
90,5
90,10
90,4
90,2
91,7
91,9
91,1
92,2
92,8
92,3
92,5
93,10
93,3
93,8
94,1
95,9
95,8
96,9
97,5
97,4
98,7
98,3
98,1
99,1
99,6
100,2
100,6
100,8
100,3
101,7
101,6
101,2
102,4
102,8
102,6
103,6
103,2
103,1
103,9
104,6
104,9
104,1
105,7
105,6
106,9
106,7
106,5
106,6
107,7
107,8
107,6
107,9
108,5
108,3
108,4
108,8
108,10
109,7
109,9
110,7
111,2
111,6
111,3
111,4
112,3
112,4
113,8
114,1
114,10
114,7
114,4
114,5
115,4
115,5
115,8
116,3
116,1
117,5
117,6
117,8
117,4
117,10
118,9
118,10
118,7
119,6
120,6
121,9
121,2
121,1
121,8
121,4
122,2
122,6
122,8
122,9
122,5
123,3
124,10
124,5
124,8
125,5
125,8
125,1
126,3
126,5
127,7
128,10
128,4
128,9
128,5
129,5
129,3
129,4
130,5
130,4
130,9
130,1
131,6
132,1
132,10
132,9
132,4
132,3
133,9
133,3
133,10
133,7
134,5
134,1
134,8
135,2
135,3
135,1
136,2
136,1
136,10
137,2
137,3
138,6
138,10
138,9
139,4
139,8
140,8
141,5
141,9
141,7
142,6
143,10
144,4
144,3
144,9
144,2
145,8
145,4
145,10
145,6
145,7
146,10
146,5
146,1
146,6
147,2
147,7
147,3
147,1
148,9
148,1
148,3
148,6
149,1
149,6
149,4
150,5
150,4
150,7
150,2
150,3
151,3
152,6
152,9
152,1
152,5
153,4
153,8
154,5
154,9
155,1
155,9
155,2
156,5
157,6
157,8
158,5
158,3
158,1
158,8
159,9
159,5
159,8
159,10
159,3
160,1
161,6
161,9
162,5
162,6
162,1
162,4
162,7
163,9
163,1
163,6
163,2
163,10
164,1
165,4
165,2
165,8
166,4
166,5
166,9
166,8
166,7
167,6
168,4
168,6
168,8
168,1
168,2
169,3
169,7
169,10
170,6
171,5
172,9
172,3
172,4
172,5
173,7
173,4
173,5
174,4
175,9
176,4
177,1
177,7
177,5
177,8
177,6
178,2
179,2
179,4
179,7
179,6
179,9
180,10
180,2
180,3
180,4
180,5
181,4
181,3
181,8
181,5
182,3
183,4
183,7
183,9
183,6
184,7
184,1
184,6
184,3
185,10
185,4
185,9
185,5
186,3
186,4
186,6
186,8
186,9
187,5
187,9
187,6
188,2
188,10
188,6
188,3
188,1
189,9
189,5
189,2
189,1
190,7
190,2
191,10
191,9
191,3
191,1
192,8
192,6
193,1
193,3
193,8
193,10
194,7
195,3
196,4
196,6
196,1
197,10
197,9
197,6
197,2
197,3
198,10
198,4
198,9
198,5
199,7
199,8
199,9
199,5
200,6
201,9
201,1
201,7
202,4
203,6
204,10
204,8
204,1
204,4
205,6
205,8
205,7
206,6
206,4
206,3
206,9
207,2
208,9
208,8
208,3
208,7
209,2
209,1
209,3
209,10
209,5
210,5
210,7
210,6
211,5
212,9
212,10
212,4
213,6
213,10
213,8
213,3
214,10
214,3
214,5
214,9
214,1
215,6
215,3
215,2
216,7
217,4
217,1
217,5
217,9
217,2
218,2
219,5
219,4
219,3
220,5
220,6
220,2
221,1
222,4
222,3
222,2
223,1
223,6
223,2
223,3
223,10
224,8
225,3
225,6
225,1
226,8
226,5
227,1
227,4
227,7
227,5
228,9
229,9
230,9
230,4
230,2
230,3
230,7
231,8
231,5
231,9
231,10
231,3
232,4
233,9
234,1
234,5
235,8
235,2
235,4
235,3
236,4
237,10
237,2
237,8
237,3
238,5
238,9
238,2
239,5
239,6
239,10
239,7
239,9
240,6
240,10
240,2
241,2
241,10
241,5
241,3
241,7
242,7
242,2
242,10
243,7
243,9
244,9
244,10
244,6
244,2
244,4
245,3
245,2
245,10
245,6
245,5
246,2
247,2
247,1
