worker,range
1,9351.609
2,8099.915
3,9488.222
4,9911.403
5,9497.681
6,8634.178
7,9186.535
8,9227.96
9,8332.475
10,8367.3
11,9755.337
12,8356.814
13,9634.642
14,8064.773
15,9311.776
16,9490.592
17,9858.905
18,8949.999
19,9842.466
20,8167.165
21,9415.992
22,9159.438
23,8460.5
24,9165.803
25,8111.309
26,9004.384
27,8257.517
28,9678.214
29,9781.633
30,9413.857
31,9275.822
32,8758.837
33,9203.712
34,8863.647
35,9221.062
36,8862.758
37,8310.829
38,8870.714
39,8055.169
40,9786.746
41,8331.201
42,9790.61
43,9402.82
44,8997.725
45,9815.549
46,9036.423
47,9655.143
48,8152.307
49,9250.727
50,9690.981
51,8738.08
52,8104.069
53,9360.437
54,9498.447
55,9573.977
56,9505.395
57,8745.776
58,9549.435
59,9890.876
60,8073.727
61,8354.964
62,9076.693
63,9415.917
64,8787.44
65,9036.765
66,8053.407
67,8481.088
68,9975.735
69,8733.183
70,8657.645
71,9428.919
72,9048.713
73,8448.692
74,8046.644
75,8829.023
76,9808.419
77,9649.923
78,9343.948
79,9075.228
80,9611.36
81,8610.546
82,9790.638
83,9640.544
84,8826.596
85,8398.609
86,8982.73
87,8270.323
88,9565.611
89,8327.049
90,9972.395
91,8495.484
92,8091.187
93,8750.148
94,9909.77
95,8403.049
96,9868.398
97,9994.322
98,9909.993
99,8568.365
100,9046.152
101,8691.345
102,9180.785
103,9024.712
104,8226.957
105,8813.85
106,9193.569
107,8635.637
108,8517.999
109,9982.601
110,9271.727
111,8225.824
112,9384.193
113,8241.059
114,9172.352
115,8505.8
116,8861.508
117,9999.577
118,8589.118
119,8545.618
120,8917.068
121,9556.42
122,8355.634
123,9223.803
124,8312.758
125,9045.732
126,8110.51
127,9292.06
128,8239.746
129,9724.319
130,8268.351
131,9080.673
132,9886.261
133,8262.414
134,8129.386
135,9033.949
136,9178.537
137,9941.276
138,8022.983
139,8020.951
140,9418.749
141,9978.806
142,8453.489
143,8188.594
144,9159.097
145,9828.921
146,9788.739
147,8899.576
148,9600.796
149,9753.283
150,9213.174
151,8852.248
152,9743.202
153,8344.183
154,8172.056
155,8065.25
156,8532.487
157,9066.871
158,9835.806
159,8397.357
160,9331.668
161,9897.908
162,9488.826
163,9132.078
164,8327.318
165,8621.212
166,8545.666
167,9160.098
168,9176.484
169,8443.13
170,8008.433
171,8711.197
172,8868.292
173,9974.585
174,8213.797
175,9268.713
176,9492.339
177,9590.657
178,8067.678
179,8697.956
180,9776.307
181,8997.297
182,8915.541
183,9578.435
184,9107.005
185,9830.228
186,9764.4
187,9449.4
188,9985.034
189,9329.866
190,9428.941
191,8272.699
192,9246.431
193,8192.869
194,8782.155
195,8154.827
196,8573.14
197,9256.001
198,9175.626
199,9532.446
200,9139.931
201,9454.612
202,9871.416
203,8655.872
204,8440.185
205,9799.6
206,9297.981
207,9033.011
208,9260.644
209,9486.597
210,9940.453
211,8296.037
212,8435.066
213,9237.86
214,9440.364
215,9460.051
216,8624.706
217,9875.369
218,9395.063
219,9817.992
220,8532.006
221,8702.776
222,8293.404
223,8718.746
224,8267.687
225,8668.475
226,9699.946
227,9049.866
228,8620.748
229,9122.139
230,9539.608
231,9621.969
232,8240.183
233,8253.122
234,8955.466
235,9215.084
236,8064.029
237,9732.329
238,9528.622
239,8447.574
240,9394.479
241,8114.235
242,9502.973
243,9864.783
244,8835.129
245,9907.353
246,8962.699
247,9091.221
248,8543.404
249,8150.371
250,9492.738
251,9254.804
252,9050.804
253,9594.388
254,8593.791
255,8939.334
256,8829.456
257,8269.037
258,8325.93
259,8029.632
260,9832.97
261,9103.316
262,9348.297
263,8489.259
264,9261.127
265,9180.984
266,8594.372
267,9492.844
268,9736.875
269,8182.969
270,8643.458
271,8750.858
272,9652.12
273,9897.799
274,9108.102
275,8506.255
276,8671.383
277,9464.725
278,8846.763
279,8554.697
280,8431.23
281,9633.47
282,8056.137
283,8545.563
284,8681.95
285,9524.63
286,9379.611
287,8379.761
288,8222.014
289,9897.389
290,9985.049
291,9709.967
292,9394.926
293,8976.713
294,8892.319
295,9805.082
296,8320.006
297,8063.47
298,8476.596
299,8048.3
300,9875.298
