task,budget
1,305452.375
2,213961.315
3,452733.939
4,425750.631
5,141425.438
6,197362.331
7,460234.066
8,562144.963
9,474652.393
10,392082.004
11,521281.342
12,480018.445
13,453892.526
14,116114.804
15,459626.125
16,418662.804
17,122298.842
18,424272.973
19,568687.587
20,518540.426
21,307280.713
22,511499.511
23,558190.001
24,361278.929
25,172032.396
26,393807.818
27,233878.611
28,480039.818
29,425278.056
30,573678.805
31,329571.342
32,319431.075
33,188685.039
34,275302.924
35,157665.872
36,118211.66
37,212322.345
38,143614.882
39,405278.794
40,461854.168
41,413102.496
42,523552.527
43,457079.368
44,542817.576
45,385439.54
46,376826.781
47,425129.668
48,141354.953
49,414840.135
50,285499.497
51,300656.786
52,322718.922
53,348431.611
54,259608.247
55,531225.357
56,331617.237
57,472721.385
58,315521.611
59,328360.676
60,156742.228
61,220634.255
62,478118.669
63,279269.306
64,328138.148
65,226135.869
66,465255.521
67,169589.828
68,531045.638
69,561034.274
70,423670.116
71,264006.559
72,336397.742
73,108613.666
74,196941.083
75,164456.882
76,352629.497
77,234632.065
78,422465.737
79,386587.704
80,453506.011
81,353495.413
82,396642.797
83,537418.521
84,409533.259
85,170007.69
86,379350.191
87,222319.86
88,258255.619
89,188089.116
90,301438.32
91,417250.979
92,299162.999
93,587985.747
94,256791.013
95,594113.796
96,352627.793
97,520597.808
98,526731.996
99,138289.583
100,244577.226
101,404890.961
102,570481.578
103,156568.094
104,128340.927
105,151394.882
106,206071.275
107,181210.895
108,354073.991
109,563639.224
110,452243.091
111,404004.811
112,483624.882
113,427058.07
114,111266.219
115,140895.959
116,476584.974
117,269764.311
118,550298.779
119,107999.142
120,144599.334
121,392920.517
122,530682.655
123,578492.941
124,574386.746
125,309083.466
126,143783.285
127,452766.851
128,144339.186
129,502429.48
130,357118.63
131,356140.471
132,332081.041
133,566082.92
134,466993.54
135,562671.278
136,557161.689
137,278979.965
138,425531.31
139,552530.76
140,378237.796
141,394560.572
142,309655.04
143,321710.941
144,453860.474
145,307227.216
146,289854.581
147,407649.125
148,515072.637
149,501591.828
150,209734.466
151,540153.101
152,570284.37
153,100636.284
154,319821.237
155,384435.271
156,379244.376
157,347588.049
158,271009.774
159,567002.863
160,361785.611
161,317539.895
162,254536.594
163,380284.201
164,507741.634
165,297319.3
166,443696.924
167,511414.827
168,319726.886
169,475748.583
170,395179.526
171,385244.553
172,392917.191
173,450783.896
174,269027.515
175,175436.453
176,208827.071
177,410769.49
178,157137.344
179,338078.147
180,352728.303
181,410193.795
182,478743.294
183,526606.458
184,150297.83
185,450932.165
186,500670.011
187,163638.531
188,472801.484
189,217389.552
190,104020.095
191,184526.154
192,335004.746
193,568436.993
194,234911.37
195,241463.332
196,212402.969
197,430150.092
198,233926.454
199,307238.183
200,335789.297
201,278054.215
202,403302.705
203,471545.709
204,439759.312
205,542815.973
206,574508.151
207,499190.456
208,414592.739
209,257054.235
210,511897.621
211,259603.026
212,391903.393
213,400172.143
214,337360.721
215,140570.882
216,245755.554
217,375462.404
218,159927.214
219,164321.712
220,244837.974
221,495407.792
222,231385.015
223,281778.21
224,132907.966
225,375615.083
226,302567.995
227,504469.672
228,259439.256
229,408759.379
230,266949.232
231,165374.871
232,350356.257
233,240664.149
234,360868.318
235,152619.358
236,337284.615
237,437781.991
238,507222.461
239,180223.441
240,532175.058
241,524624.53
242,141345.091
243,500263.768
244,386324.74
245,495525.716
246,550365.226
247,394180.797
248,133397.269
249,323963.476
250,298348.112
251,596686.354
252,475642.4
253,337640.001
254,450937.977
255,503352.798
256,263057.536
257,501167.057
258,285921.745
259,497223.56
260,562224.78
261,109964.556
262,344269.141
263,179731.287
264,134796.492
265,302266.909
266,162104.773
267,513275.269
268,170616.753
269,239996.887
270,521671.867
271,285780.15
272,351042.15
273,437883.785
274,403924.742
275,341471.547
276,257606.945
277,229691.457
278,323085.763
279,146092.847
280,184549.249
281,135535.842
282,377812.893
283,428437.658
284,496728.998
285,468810.975
286,247209.485
