task,req_skill
1,4
2,6
2,8
2,5
2,7
3,2
3,6
3,8
4,2
5,8
6,6
6,7
6,1
6,3
7,5
7,7
8,6
9,5
9,4
9,8
10,2
10,10
11,8
11,1
11,6
11,3
12,10
12,7
12,2
12,8
13,7
13,2
13,3
13,6
13,4
14,3
14,1
14,9
14,7
14,6
15,2
15,6
16,6
16,5
16,2
16,1
16,10
17,2
17,8
17,7
18,1
19,2
19,7
19,10
19,8
20,2
20,10
20,8
20,7
20,1
21,3
21,5
21,2
22,1
22,3
22,6
22,7
22,10
23,5
23,4
24,9
25,10
25,1
25,2
25,5
26,8
26,3
26,10
26,7
27,6
27,5
27,10
27,7
27,3
28,10
28,2
29,1
29,2
30,3
30,2
30,7
31,6
32,2
32,7
32,5
32,10
32,1
33,2
33,10
33,5
33,7
33,1
34,4
34,7
34,2
34,9
35,7
35,2
36,10
37,5
37,6
37,3
37,7
37,10
38,3
38,10
39,8
40,7
40,5
40,3
41,5
41,7
41,2
41,3
41,1
42,10
42,7
42,3
42,1
42,5
43,2
43,10
43,5
43,1
43,9
44,9
44,2
44,5
44,1
45,3
45,6
45,4
45,10
46,4
46,6
46,2
46,1
46,8
47,7
47,6
47,3
47,8
48,10
48,9
48,1
49,10
49,6
49,5
49,4
50,6
50,4
50,8
50,10
51,2
51,8
51,9
52,2
52,4
52,9
52,3
52,5
53,2
53,6
53,7
53,4
53,9
54,9
55,5
56,6
56,5
57,8
57,1
58,2
58,9
58,6
58,10
59,8
59,1
59,7
59,4
60,4
60,8
60,9
61,4
62,1
62,4
62,3
62,9
63,7
63,5
63,3
64,6
65,1
65,2
66,2
66,8
66,10
66,4
66,1
67,9
67,1
68,10
68,2
68,6
68,4
68,3
69,8
69,2
69,9
69,1
69,4
70,1
70,5
70,2
70,10
70,6
71,10
71,9
71,7
71,2
71,1
72,4
73,5
73,3
73,4
74,3
74,2
74,5
74,9
75,3
76,3
76,2
77,6
77,3
77,10
78,10
78,3
78,4
79,5
79,1
79,9
