worker,latitude,longitude
1,9.3324,85.423
2,15.6267,83.735
3,31.0957,78.6329
4,30.26,82.5895
5,34.6582,87.0934
6,8.6548,71.575
7,28.4344,83.9738
8,23.7479,70.7084
9,15.299,75.2993
10,34.6857,82.6471
11,16.4426,87.9125
12,19.8584,77.5693
13,23.0524,77.2186
14,26.2257,68.8198
15,31.8534,84.6674
16,15.9372,96.0521
17,30.1751,78.5812
18,22.7155,71.4696
19,24.506,84.0362
20,23.8209,91.8095
21,16.4086,72.535
22,16.5884,79.3407
23,21.8016,77.4833
24,11.2186,94.0636
25,15.0903,93.5484
26,10.3489,73.7997
27,25.1892,76.7369
28,16.444,74.4181
29,27.3808,83.1674
30,36.4753,78.3529
31,18.0123,80.4127
32,36.6898,88.608
33,24.4027,72.2628
34,34.3416,69.8834
35,26.839,93.4752
36,10.294,72.7679
37,16.0309,87.3279
38,31.7032,92.8576
39,9.5422,83.0184
40,32.3865,81.2648
41,9.8364,75.3592
42,18.8723,96.375
43,11.2644,91.2836
44,28.7074,73.3838
45,11.6218,76.6708
46,9.0757,74.9482
47,16.4756,87.9502
48,35.2038,95.7149
49,33.0394,82.7982
50,10.2338,97.2513
51,13.1584,74.0788
52,16.46,88.4208
53,33.3226,87.0395
54,34.5067,92.3783
55,28.7577,95.7655
56,25.2101,75.1758
57,20.2485,93.958
58,30.0696,72.3098
59,26.7413,81.8634
60,14.1422,89.942
61,35.5612,88.5334
62,32.963,78.3094
63,12.4252,76.0935
64,19.1344,71.8304
65,24.5579,76.7473
66,29.173,80.1168
67,28.7176,77.6428
68,13.3532,85.9521
69,19.3785,87.1015
70,21.7312,83.6719
71,15.5458,72.2928
72,36.0103,76.6926
73,26.326,89.8675
74,27.1655,94.089
75,29.6849,75.9053
76,23.7334,86.2151
77,19.6756,73.2279
78,17.2612,86.1433
79,32.8572,96.8816
80,19.3434,95.8134
81,18.3009,71.405
82,29.5995,71.326
83,33.8586,88.8513
84,13.1118,88.831
85,37.2002,77.4435
86,13.737,93.094
87,24.9706,88.7634
88,34.7441,86.7995
89,25.2409,82.6159
90,29.5943,80.9528
91,24.3211,77.8254
92,27.0958,97.3507
93,21.9915,92.8017
94,9.7123,89.5994
95,34.4206,76.1389
96,37.4248,87.9388
97,14.5715,82.4639
98,15.5564,93.2522
99,29.0275,86.8543
100,33.4449,94.675
101,33.2493,79.606
102,13.2965,75.8708
103,20.6597,88.3527
104,23.3531,73.8457
105,36.2217,85.8962
106,12.1334,76.183
107,17.791,86.3961
108,26.9014,77.0627
109,25.9218,72.2119
110,18.0026,92.0161
111,23.2602,92.6395
112,30.4772,89.0327
113,9.66,71.7959
114,8.6744,87.0826
115,16.7746,97.0884
116,36.7355,69.8674
117,13.1352,85.378
118,17.1739,88.7034
119,28.1726,90.6133
120,24.2642,73.5657
121,30.123,97.1352
122,36.8646,94.2643
123,24.7949,95.9262
124,15.3532,76.0833
125,34.0216,91.9212
126,27.7931,82.7752
127,12.0627,70.6379
128,13.1936,94.514
129,24.7125,75.1331
130,9.8747,83.2108
131,16.7368,97.0303
132,16.6193,91.4037
133,35.9909,82.5217
134,30.8892,85.1002
135,16.8918,92.814
136,28.2945,76.5514
137,24.1523,80.0307
138,25.3814,72.1088
139,14.8014,88.2188
140,30.4907,71.6876
141,23.9704,93.0694
142,23.6214,75.5441
143,25.4638,81.766
144,33.4585,77.3155
145,19.4459,75.996
146,29.6718,85.5089
147,31.3438,81.3392
148,30.0726,70.418
149,16.3269,82.724
150,15.626,87.9096
151,29.1526,73.8343
152,14.3669,82.5214
153,14.2457,80.0914
154,25.8064,96.1601
155,35.9848,79.7444
156,11.0066,80.9135
157,33.3982,76.1329
158,18.2197,84.2079
159,32.5031,72.6375
160,34.7668,83.9778
161,36.5059,73.5492
162,34.4832,93.9968
163,37.3783,94.6876
164,36.1208,82.1141
165,13.4431,92.1406
166,14.926,72.9125
167,14.2285,90.3188
168,31.6179,76.474
169,20.1917,79.5897
170,8.5952,94.3415
171,17.415,87.9794
172,22.9305,69.6454
173,13.6117,77.6377
174,13.5686,75.6582
175,32.9531,81.0835
176,30.1423,88.5949
177,23.1861,88.6856
178,32.738,69.1381
179,10.3013,86.1471
180,28.4154,70.4003
181,16.6376,92.5865
182,23.8537,73.795
183,24.7291,69.1101
184,10.8795,69.2413
185,8.9805,80.728
186,9.1399,86.2307
187,30.0728,69.6387
188,36.4973,87.0921
189,23.8172,83.4523
190,26.32,84.1757
191,16.7762,69.0897
192,33.376,94.0741
193,32.8413,97.0037
194,22.6409,74.1278
195,25.9215,85.9862
196,30.6482,97.0385
197,19.4423,72.0774
198,32.7248,91.7052
199,27.5729,87.6254
200,16.8912,97.3194
201,26.0769,70.9726
202,20.2637,78.7947
203,29.792,92.0149
204,19.0483,78.0947
