worker,task
1,86
2,61
2,44
2,51
3,72
3,38
4,52
4,12
4,73
4,83
5,25
6,83
6,66
6,62
6,50
7,89
8,9
8,83
8,44
9,89
9,72
10,11
10,23
11,68
11,52
12,13
12,86
13,24
13,89
13,59
14,82
15,19
15,46
15,1
15,94
16,29
16,21
17,28
17,36
17,54
17,98
18,5
18,81
18,41
18,19
18,99
19,1
20,50
21,2
22,75
22,45
23,80
24,25
24,64
25,85
25,48
26,61
26,24
26,11
26,86
27,44
27,79
27,8
28,8
28,50
29,66
29,14
29,83
29,30
30,40
30,98
31,2
32,80
32,90
33,78
33,4
34,42
34,65
34,7
34,16
35,19
35,70
35,39
36,61
36,41
37,40
37,8
38,71
38,28
38,6
38,52
39,69
39,74
40,95
40,32
40,6
40,37
41,70
41,92
41,97
41,75
42,92
43,66
43,14
43,24
43,91
43,44
44,53
44,65
44,59
44,76
45,1
45,30
45,95
46,35
46,80
46,17
47,24
47,17
48,54
48,76
48,7
48,33
48,6
49,69
49,83
49,34
50,68
50,33
51,55
51,81
51,30
51,99
51,2
52,26
53,3
53,35
53,86
54,39
54,64
54,82
54,69
55,83
55,51
56,27
56,64
56,17
57,22
57,33
58,18
58,75
58,85
59,38
59,52
59,51
60,17
61,99
61,92
61,95
61,83
62,17
62,99
62,30
63,38
63,28
63,12
63,53
63,52
64,92
64,44
64,84
65,93
65,55
66,85
66,11
66,82
66,78
67,45
67,10
67,84
67,75
67,20
68,65
68,17
68,10
68,63
68,46
69,85
69,73
69,12
69,45
69,8
70,14
70,96
71,68
72,62
72,16
72,81
72,13
72,74
73,37
73,48
74,1
74,72
75,88
75,72
75,50
75,12
75,64
76,61
76,75
77,83
78,90
78,64
78,26
79,63
79,57
79,95
80,90
81,79
81,68
82,91
82,14
82,76
82,37
83,27
83,14
83,7
83,20
84,84
84,23
84,53
85,69
85,45
86,79
86,92
86,40
86,16
87,71
87,81
87,59
87,23
88,8
88,77
88,92
89,96
89,29
90,84
91,5
91,20
91,71
91,7
92,18
92,70
92,95
92,75
92,8
93,6
94,47
95,76
95,83
95,80
96,73
96,77
97,30
97,74
98,51
99,17
99,41
99,12
99,91
99,25
100,23
100,79
100,34
100,60
101,77
102,76
102,33
103,50
103,81
103,73
104,78
104,64
104,38
104,61
104,72
105,61
105,16
105,7
105,18
106,5
106,93
106,79
107,46
107,25
108,32
108,43
108,63
108,66
109,81
109,49
109,72
109,92
110,68
111,90
111,31
111,45
112,7
112,50
112,79
112,8
112,33
113,85
113,33
113,60
114,34
114,16
114,50
114,75
115,78
115,39
116,50
116,82
116,34
117,47
117,62
118,93
118,68
118,13
118,44
119,87
119,66
120,44
120,39
120,12
121,74
121,54
121,59
121,6
122,78
122,92
122,23
122,34
123,92
123,53
123,52
124,56
124,91
124,54
124,52
125,30
125,55
125,4
125,33
126,18
126,100
127,79
127,7
127,89
127,94
127,58
128,12
128,72
128,16
129,98
129,36
129,84
130,53
130,94
131,11
132,92
132,22
132,91
132,45
133,23
133,2
134,54
134,73
134,42
135,17
135,7
136,77
137,62
138,49
138,78
139,70
139,95
140,44
141,82
141,65
141,12
141,76
141,78
142,23
142,53
142,5
142,42
142,50
143,60
143,47
143,83
143,46
143,2
144,100
144,6
144,75
145,41
145,87
145,58
145,75
146,23
146,62
146,27
146,35
147,81
148,37
148,6
148,19
149,12
150,60
150,94
150,15
150,63
150,6
151,9
151,19
151,63
151,79
151,8
152,63
152,94
152,83
152,48
153,42
153,60
153,62
153,13
153,30
154,77
154,45
154,73
154,97
155,29
155,79
155,77
155,23
155,14
156,90
156,93
156,70
156,75
156,13
157,28
157,100
157,4
157,99
157,14
158,51
158,38
158,57
159,61
160,26
160,5
160,95
160,57
160,27
161,15
161,82
161,34
161,88
162,99
162,59
162,32
162,72
162,82
163,1
164,86
164,85
164,36
164,73
165,93
165,80
165,28
165,34
166,51
166,4
166,31
167,96
167,24
167,21
167,75
168,47
169,40
169,36
169,49
169,69
170,12
171,68
171,69
171,6
171,8
172,22
173,81
173,3
173,20
174,80
174,73
174,14
174,100
174,54
175,15
175,48
176,37
176,78
176,17
176,22
176,89
177,54
177,71
177,58
177,31
177,94
178,97
178,75
178,68
178,59
178,55
179,42
179,90
180,67
180,4
181,33
182,59
182,34
182,19
182,62
183,9
183,82
183,48
183,69
184,87
184,93
184,75
184,25
184,54
185,88
186,33
186,78
186,28
187,66
187,27
187,85
187,96
188,49
188,20
188,14
189,52
189,14
189,92
190,98
191,76
191,83
191,96
191,48
192,65
192,51
192,67
192,85
192,27
193,37
193,27
193,4
193,39
194,70
194,17
194,27
195,68
196,33
197,6
197,68
197,92
198,27
198,61
198,21
198,92
199,68
199,5
199,76
200,71
200,23
200,5
200,60
201,80
201,59
201,61
201,76
202,98
202,71
202,54
203,69
203,70
203,5
203,77
204,28
205,6
205,37
205,34
205,55
205,33
206,45
206,24
206,14
206,30
207,72
207,43
208,17
208,65
208,49
208,85
208,28
209,21
210,5
210,32
210,26
210,20
211,76
212,70
212,17
212,48
212,66
213,29
213,89
213,84
214,100
214,98
214,40
215,60
216,94
217,70
217,54
217,60
217,92
217,8
218,37
219,39
220,8
220,72
220,65
220,23
221,15
221,69
221,37
222,33
222,26
222,52
222,85
222,82
223,84
223,42
223,34
223,39
224,92
224,73
224,24
224,74
224,78
225,46
226,85
226,49
227,1
227,45
228,59
228,87
229,38
229,47
229,88
229,55
230,62
230,82
231,68
231,84
231,65
232,3
232,69
232,21
233,94
234,31
234,11
234,69
234,79
234,54
235,43
236,79
236,72
236,29
237,50
237,18
237,54
237,20
237,72
238,67
238,32
238,15
238,82
239,66
239,30
239,89
240,47
240,52
240,56
240,6
240,65
241,5
241,55
241,38
241,50
241,37
242,71
242,42
242,45
243,100
243,13
244,99
244,64
245,39
245,10
246,79
246,51
246,90
247,49
247,88
248,89
248,27
248,72
248,14
248,71
249,52
249,37
249,82
249,92
249,29
250,33
250,17
250,85
251,9
251,85
252,3
252,81
252,68
252,53
253,13
253,49
253,43
254,45
254,66
254,46
255,15
256,37
256,49
256,54
256,73
257,52
257,51
257,14
257,36
257,79
258,7
258,35
258,34
258,97
259,26
259,12
260,1
260,89
260,58
261,93
261,29
261,8
261,47
261,9
262,79
262,49
262,52
263,52
263,51
263,91
264,9
265,40
265,47
266,79
266,94
267,89
267,17
267,79
267,78
268,60
269,12
269,69
270,10
270,30
270,52
271,78
271,16
271,98
271,38
272,3
272,38
272,2
272,59
273,40
273,17
274,11
274,95
274,89
274,12
274,2
275,50
275,72
276,94
276,39
277,10
277,46
277,72
277,61
278,44
278,71
279,61
279,11
280,27
280,53
281,95
281,15
282,91
282,4
282,10
283,22
283,45
284,52
284,100
285,98
286,34
286,36
286,96
286,70
287,44
287,49
287,77
287,5
287,57
288,81
288,96
288,22
289,96
289,82
290,16
290,36
290,95
291,26
292,3
292,53
293,29
294,98
294,42
295,25
296,68
296,59
296,1
296,62
297,38
297,2
298,58
298,80
298,94
299,56
300,76
301,21
302,84
303,33
303,11
304,99
304,51
304,65
305,32
305,74
305,10
306,36
307,51
308,36
308,81
308,59
309,2
309,50
309,85
309,29
310,4
310,66
311,68
311,40
311,46
311,47
311,41
312,24
312,81
312,22
312,83
312,27
