task,budget
1,548.27
2,216.95
3,673.48
4,402.16
5,319.75
6,555.82
7,472.89
8,621.34
9,346.78
10,829.51
11,927.13
12,367.91
13,534.63
14,743.27
15,418.09
16,653.77
17,512.48
18,911.62
19,446.99
20,753.74
21,695.02
22,356.28
23,526.93
24,409.70
25,305.44
26,492.61
27,724.98
28,576.16
29,344.30
30,693.88
31,771.15
32,404.51
33,566.93
34,702.89
35,586.27
36,875.14
37,622.76
38,407.89
39,331.56
40,556.21
41,481.99
42,643.84
43,392.07
44,784.50
45,916.62
46,317.05
47,542.39
48,711.82
49,524.17
50,812.36
51,651.29
52,355.72
53,588.96
54,418.33
55,300.71
56,468.85
57,705.42
58,563.17
59,353.90
60,619.47
61,742.83
62,481.64
63,517.09
64,725.94
65,532.77
66,836.25
67,645.88
68,408.92
69,377.26
70,543.78
71,475.19
72,695.87
73,339.92
74,777.61
75,928.15
76,339.42
77,538.65
78,715.27
79,547.94
80,888.02
81,567.22
82,469.57
83,684.29
84,375.92
85,512.06
86,706.14
87,519.83
88,813.72
89,665.97
90,400.28
91,378.65
92,528.39
93,724.85
94,540.73
95,927.66
96,534.41
97,778.93
98,695.74
99,437.18
100,688.92
