task,req_skill
1,15
1,24
1,28
1,35
1,42
2,1
2,2
2,5
2,13
2,17
3,4
3,7
3,8
3,18
3,23
4,3
4,9
4,12
4,14
4,25
5,6
5,10
5,16
5,21
5,26
6,4
6,7
6,13
6,16
6,19
7,2
7,3
7,9
7,11
7,29
8,4
8,9
8,15
8,17
8,39
9,1
9,5
9,7
9,13
9,27
10,6
10,10
10,12
10,17
10,30
11,1
11,8
11,12
11,13
11,16
12,1
12,7
12,12
12,18
12,44
13,4
13,9
13,16
13,19
13,20
14,1
14,5
14,11
14,13
14,18
15,3
15,7
15,10
16,1
16,6
16,11
16,14
16,19
17,8
17,10
17,18
17,29
18,1
18,7
18,11
18,16
18,30
19,27
19,46
20,1
20,12
20,39
21,2
21,10
21,12
21,18
21,27
22,1
22,8
22,11
22,15
22,24
23,2
23,7
23,10
23,13
23,29
24,1
24,6
24,9
24,14
24,19
25,3
25,7
25,8
26,6
26,11
26,12
26,29
27,1
27,9
27,16
27,19
27,24
28,1
28,7
28,11
29,27
29,39
30,1
30,7
30,11
30,13
30,17
31,2
31,10
31,30
32,3
32,6
32,8
32,10
32,13
33,1
33,25
34,1
34,7
34,12
34,17
34,19
35,8
36,6
36,11
36,13
36,17
37,6
37,9
37,19
38,4
38,11
38,16
38,19
38,27
39,1
39,7
39,11
39,12
39,44
40,2
40,4
40,9
40,13
40,27
41,1
41,6
41,9
41,11
41,24
42,10
42,13
42,46
43,1
43,8
43,11
43,17
43,25
44,1
44,7
44,13
44,15
44,30
45,3
45,11
45,39
46,1
46,6
46,13
46,16
46,27
47,2
47,8
47,11
47,13
47,39
48,1
48,7
48,24
49,12
49,15
50,1
50,6
50,13
50,19
50,27
51,2
51,8
51,11
51,13
51,16
52,1
52,7
52,12
52,15
52,18
53,4
53,9
53,20
54,6
54,9
54,15
54,18
54,25
55,2
55,13
55,26
56,1
56,6
56,9
56,11
56,17
57,1
57,9
58,3
58,11
58,16
58,19
58,44
59,1
59,7
59,12
59,13
59,15
60,8
60,9
60,30
61,1
61,4
61,11
61,19
61,27
62,2
62,7
62,11
62,12
62,17
63,1
63,7
64,3
64,10
64,13
64,26
65,1
65,8
65,12
65,13
65,16
66,1
66,46
67,4
67,9
67,16
67,19
67,25
68,1
68,5
68,11
68,13
68,18
69,3
69,7
69,10
69,12
69,19
70,14
70,19
71,8
71,9
71,39
72,13
72,27
73,2
73,7
73,11
73,12
73,17
74,1
74,7
74,9
74,15
74,24
75,2
75,3
75,10
75,13
75,26
76,1
76,8
76,12
76,13
76,16
77,1
77,7
77,12
77,18
77,29
78,4
78,9
78,15
78,19
78,44
79,1
79,5
79,11
79,13
79,18
80,3
80,7
80,17
81,1
81,6
81,11
81,14
81,19
82,8
82,9
82,17
82,30
82,39
83,1
83,7
83,17
84,2
84,10
84,12
84,18
84,27
85,3
85,10
85,24
86,1
86,6
86,29
87,2
87,7
87,19
88,1
88,9
89,2
89,4
89,10
89,27
90,1
90,8
90,12
91,1
91,7
91,12
91,18
91,46
92,19
92,44
93,1
93,5
93,11
93,13
93,18
94,3
94,7
94,10
95,1
95,13
95,24
96,8
96,9
96,15
96,17
96,39
97,1
97,7
97,11
97,13
97,27
98,2
98,10
98,12
98,18
98,30
99,3
99,6
99,8
99,10
99,19
100,1
100,25
