worker,cost
1,2.75
2,1.25
3,4.50
4,5.00
5,3.25
6,1.50
7,4.75
8,5.25
9,3.00
10,2.50
11,4.00
12,1.50
13,5.75
14,3.00
15,5.25
16,5.75
17,2.50
18,0.75
19,5.00
20,5.25
21,2.50
22,5.00
23,3.75
24,2.25
25,0.50
26,2.00
27,2.25
28,1.50
29,0.75
30,5.00
31,5.50
32,3.75
33,2.25
34,5.50
35,2.00
36,5.25
37,5.75
38,0.50
39,5.75
40,3.50
41,0.25
42,5.75
43,4.25
44,2.50
45,4.75
46,5.00
47,0.25
48,1.50
49,1.75
50,2.00
51,4.25
52,5.50
53,0.75
54,2.00
55,1.25
56,3.50
57,1.75
58,4.00
59,3.75
60,0.00
61,4.25
62,2.75
63,0.00
64,5.75
65,5.00
66,2.25
67,0.50
68,2.75
69,1.00
70,4.25
71,5.50
72,0.75
73,4.00
74,1.25
75,3.50
76,3.75
77,0.50
78,2.75
79,1.00
80,0.75
81,3.00
82,5.75
83,4.50
84,3.25
85,4.50
86,3.25
87,1.50
88,5.75
89,3.50
90,5.25
91,3.00
92,5.75
93,2.75
94,1.50
95,0.25
96,5.50
97,5.75
98,3.50
99,5.75
100,4.50
