worker,range
1,1967.467
2,1744.487
3,1227.045
4,1026.15
5,1923.191
6,1221.032
7,815.469
8,1573.576
9,1381.26
10,1462.982
11,921.852
12,787.052
13,1653.535
14,1615.258
15,881.084
16,1550.186
17,1806.048
18,1535.62
19,1998.53
20,1526.651
21,1051.049
22,898.197
23,798.98
24,1638.504
25,1767.049
26,1215.866
27,1034.206
28,1489.225
29,1247.248
30,1181.728
31,1826.606
32,1856.247
33,893.142
34,1622.114
35,765.461
36,714.396
37,1607.195
38,1499.151
39,1313.842
40,993.465
41,1137.44
42,1202.303
43,740.696
44,1666.235
45,1890.553
46,1653.495
47,756.149
48,1892.25
49,1334.194
50,1840.777
51,974.722
52,936.626
53,1690.622
54,1343.343
55,741.308
56,1657.559
57,1823.884
58,1286.807
59,1182.155
60,1842.851
61,1711.169
62,1526.753
63,1226.267
64,1318.586
65,1063.532
66,794.219
67,1231.111
68,1005.436
69,1649.225
70,1629.755
71,1017.834
72,1331.558
73,1763.202
74,1470.821
75,1113.165
76,1797.81
77,1614.523
78,1770.304
79,1182.981
80,1532.331
81,721.82
82,1102.183
83,1179.456
84,1847.039
85,1263.107
86,1561.644
87,1264.017
88,1834.861
89,1680.13
90,828.826
91,1551.132
92,1226.191
93,1410.931
94,1372.188
95,1456.913
96,1246.165
97,1090.556
98,736.784
99,710.589
100,1376.337
