worker,skill
1,7
2,26
2,29
2,51
3,9
3,14
4,41
4,67
4,72
4,86
5,28
5,32
5,42
5,46
6,6
6,28
6,39
7,3
7,21
7,33
7,42
7,83
8,24
8,38
9,6
9,19
9,38
9,69
9,96
10,23
10,37
11,3
11,18
11,39
11,58
12,2
12,16
12,43
12,56
13,19
13,31
14,4
14,11
14,48
14,54
15,20
15,30
15,62
15,88
16,7
16,36
17,22
17,24
17,38
17,46
17,52
18,1
18,15
18,34
19,13
19,22
19,30
19,53
20,9
20,13
20,40
20,42
21,7
21,15
21,16
21,53
22,7
22,12
22,38
22,74
23,3
23,17
23,23
23,28
23,44
24,13
24,27
24,32
24,55
25,11
25,13
25,26
25,52
25,69
26,2
26,13
27,1
27,17
27,30
27,50
27,83
28,10
28,11
28,35
29,3
29,27
29,41
29,57
30,2
30,10
30,13
30,24
30,78
31,17
31,18
31,20
31,57
32,9
32,27
32,58
32,70
33,6
33,12
33,17
34,1
34,16
34,19
34,44
34,46
35,4
35,13
35,24
35,50
35,86
36,7
36,12
36,29
36,39
36,71
37,3
37,8
37,23
37,25
38,5
38,6
38,16
38,17
38,19
39,9
40,3
40,10
40,26
40,57
40,96
41,8
41,9
41,20
41,23
41,38
42,4
42,13
42,27
42,47
43,2
43,16
43,29
43,30
43,44
44,11
44,16
45,1
45,39
45,71
46,4
46,7
46,15
46,23
46,42
47,12
47,18
48,13
48,15
48,23
48,27
49,6
49,17
49,26
49,35
49,59
50,10
50,11
50,24
50,29
50,35
51,2
51,11
51,13
51,15
51,35
52,4
52,6
52,7
52,8
52,12
53,1
53,6
53,13
53,24
53,25
54,3
54,11
54,44
55,1
55,7
55,9
55,15
55,16
56,2
56,4
56,6
56,10
56,17
57,1
57,8
57,10
57,13
57,29
58,1
58,7
58,11
58,12
58,16
59,1
59,6
59,11
60,8
60,9
60,13
60,26
60,46
61,2
61,7
61,9
61,15
61,27
62,1
62,6
62,9
62,16
62,18
63,3
63,6
63,8
63,10
63,13
64,10
64,15
64,17
65,1
65,6
65,10
65,12
65,25
66,1
66,7
66,12
66,17
66,19
67,8
67,10
68,13
68,17
69,6
69,17
69,19
70,4
70,11
70,16
70,19
70,27
71,1
71,18
71,44
72,1
72,11
72,19
73,8
73,10
73,18
73,19
73,20
74,1
74,6
74,9
74,13
74,15
75,2
75,3
75,10
75,12
75,27
76,1
76,7
76,12
76,16
76,17
77,1
77,9
78,4
78,9
78,15
78,27
78,39
79,1
79,7
79,11
79,13
79,18
80,2
80,10
80,12
80,18
80,30
81,3
81,7
81,8
81,9
81,18
82,1
82,6
82,11
82,12
82,29
83,1
83,19
83,24
84,1
84,7
84,11
84,14
84,19
85,8
85,9
85,12
85,19
85,46
86,2
86,8
86,13
86,19
86,27
87,1
87,4
87,15
88,1
88,8
88,9
88,11
88,26
89,3
89,11
89,13
89,17
89,24
90,1
90,7
90,9
90,11
90,18
91,8
91,9
91,17
91,18
91,30
92,2
92,10
92,12
92,13
92,27
93,1
93,8
93,11
93,17
93,24
94,1
94,7
94,13
94,16
94,18
95,3
95,6
95,10
95,12
95,15
96,1
96,6
96,13
96,19
96,27
97,2
97,8
97,11
97,13
98,1
98,7
98,12
99,4
99,9
99,13
99,16
99,19
100,6
100,9
100,15
100,18
100,27
