worker,skill
2,1
2,6
3,2
3,3
4,3
4,1
4,2
4,4
4,5
5,1
6,4
7,1
7,3
8,4
9,6
9,2
9,4
9,3
9,5
10,3
10,6
10,4
10,2
11,6
11,5
11,1
11,4
12,5
12,6
13,3
13,4
13,6
14,5
14,1
14,2
14,3
14,6
15,1
16,3
16,1
16,5
17,4
17,5
18,4
18,6
19,2
19,1
19,5
20,2
20,6
20,5
21,5
21,6
21,4
21,2
22,3
22,6
22,1
22,5
23,3
23,4
23,5
23,6
24,2
24,6
24,4
24,5
24,3
25,3
25,6
26,3
26,4
26,2
27,5
28,5
28,2
28,3
28,1
28,4
29,3
29,4
30,4
30,5
30,2
30,1
31,1
32,4
33,4
33,3
33,1
34,4
34,6
34,2
34,5
34,3
35,5
35,2
35,3
35,6
36,2
37,1
38,4
38,1
38,6
38,3
38,2
39,2
39,5
39,4
40,4
41,3
41,2
41,1
42,6
43,4
43,3
43,2
44,1
44,4
44,6
44,3
44,2
45,2
45,3
45,4
46,5
46,6
46,3
46,2
46,4
47,2
48,1
48,3
48,2
48,4
48,6
49,3
49,1
50,4
50,5
50,3
50,2
50,1
51,2
51,5
51,4
52,3
52,5
52,2
53,4
54,6
54,3
54,1
54,5
54,4
55,6
55,3
55,1
56,3
56,6
57,4
57,1
57,5
58,5
58,2
58,4
59,6
59,5
60,6
60,4
60,5
60,1
60,2
61,5
62,1
62,6
62,5
62,3
63,2
63,3
64,4
64,2
65,3
65,5
65,1
66,1
66,5
66,6
66,4
67,3
67,2
67,5
68,6
69,2
70,1
70,5
70,4
70,2
70,3
71,1
71,2
71,5
72,6
72,1
73,3
73,1
73,4
74,3
75,4
75,1
76,3
77,1
77,3
78,6
78,2
78,3
79,6
80,3
80,1
80,2
80,6
81,1
81,4
81,3
81,5
81,6
82,2
82,4
82,3
82,5
82,6
83,3
83,4
84,5
84,6
84,1
84,3
84,2
85,4
86,2
86,5
86,1
86,6
87,4
87,5
87,3
87,6
87,1
88,6
88,1
88,4
89,6
89,1
89,2
89,5
89,4
90,2
90,5
90,4
90,1
91,5
91,6
91,3
91,1
92,5
93,2
94,3
94,2
95,3
96,4
99,3
99,4
99,2
100,4
100,6
100,3
100,2
100,5
