task,req_skill
1,4
1,1
2,3
2,2
3,3
3,2
4,3
4,1
4,2
4,4
5,4
5,2
6,3
6,2
6,1
7,3
7,2
7,4
8,1
8,3
8,4
9,2
9,3
9,1
10,3
10,4
10,1
10,2
11,1
12,3
12,2
12,4
13,3
13,4
13,1
13,2
14,2
14,3
14,4
15,3
15,1
15,2
15,4
16,3
17,4
17,3
18,2
18,4
18,1
18,3
19,4
19,3
20,1
20,4
20,3
20,2
21,2
21,4
22,1
22,3
22,4
22,2
23,2
23,4
23,1
24,3
24,4
24,2
25,1
25,3
25,4
25,2
26,2
26,3
26,1
26,4
27,3
27,4
27,2
28,4
29,3
30,2
30,3
31,3
32,4
32,2
32,3
33,4
33,3
34,4
34,1
34,3
35,1
36,4
36,1
36,2
36,3
37,3
37,4
37,2
37,1
38,1
38,4
38,3
38,2
39,4
39,1
40,3
40,2
41,1
42,3
42,4
43,4
43,2
43,3
43,1
44,4
44,1
44,2
45,2
45,3
45,1
46,2
46,4
46,3
47,1
48,3
48,1
48,4
48,2
49,1
49,4
49,2
50,3
50,2
51,4
51,1
52,2
53,2
53,1
54,4
54,3
54,2
55,1
55,4
55,3
56,4
56,3
56,2
56,1
57,3
57,2
58,3
59,2
60,4
60,2
60,3
61,3
61,4
61,2
62,3
62,2
62,4
62,1
63,1
63,3
64,1
64,2
65,3
65,1
66,4
67,1
67,2
67,3
67,4
68,1
68,4
68,2
69,3
70,4
70,3
70,2
71,2
72,2
72,4
72,1
73,1
73,3
73,2
74,1
74,4
75,3
75,1
76,4
76,3
76,2
77,2
78,1
78,4
79,1
79,3
79,2
80,1
80,3
80,4
80,2
81,3
81,1
82,4
82,3
82,2
82,1
83,4
83,3
83,2
84,3
85,2
85,3
85,4
86,4
86,3
86,1
87,3
87,1
87,4
88,4
88,2
89,1
89,3
89,2
89,4
90,2
90,4
90,1
90,3
91,2
91,4
91,1
92,2
92,1
92,3
93,1
94,4
94,3
94,1
94,2
95,3
95,4
95,1
95,2
96,3
96,4
96,2
97,4
97,2
98,1
98,2
98,3
99,2
99,1
100,3
100,2
