worker,skill
4,4
4,8
4,3
4,1
5,10
5,5
5,8
5,3
6,3
6,5
6,1
6,4
6,10
7,6
7,9
7,2
7,10
8,7
8,6
8,4
8,3
9,9
10,8
11,7
11,3
12,6
12,5
12,2
13,10
14,4
14,10
14,8
14,6
14,9
15,1
15,6
15,10
15,5
15,2
16,3
16,8
16,2
16,7
16,4
17,4
17,6
17,2
17,5
17,3
18,5
18,6
18,4
18,7
18,2
19,2
19,10
19,1
20,2
21,8
21,2
21,6
21,4
21,10
22,6
23,1
23,7
24,8
24,10
25,7
25,6
25,5
25,8
25,1
26,4
27,2
27,5
27,1
27,10
27,8
28,8
28,2
28,4
28,1
29,1
29,5
29,9
30,5
30,10
30,9
30,3
31,4
31,1
31,5
32,9
32,8
33,8
33,7
33,4
33,1
34,7
35,10
35,5
35,7
35,1
36,7
36,5
36,6
37,8
37,4
37,1
37,10
37,3
38,2
38,9
39,10
39,3
39,8
39,4
40,8
40,10
40,3
40,5
40,1
41,3
41,8
42,9
42,5
42,8
42,6
42,10
43,8
43,10
43,5
44,7
44,9
44,4
44,10
45,5
45,4
45,8
45,3
46,7
46,6
46,4
47,5
47,7
48,6
49,7
49,5
50,7
51,4
51,10
51,7
51,1
51,5
52,2
52,10
53,6
53,9
53,2
54,7
54,4
54,1
54,9
54,8
55,9
56,4
56,2
56,7
56,10
56,9
57,9
57,1
57,3
58,8
58,1
58,4
59,1
59,3
59,9
59,6
60,8
60,4
61,6
61,1
61,2
61,8
61,9
62,6
62,4
62,8
62,1
62,10
63,8
63,5
63,3
63,9
64,4
64,7
64,10
64,3
64,2
65,7
65,8
66,4
67,6
67,9
67,3
67,2
67,1
68,1
68,2
68,6
68,8
68,3
69,7
70,6
71,9
71,1
72,3
72,4
72,8
72,6
73,7
73,5
73,6
73,10
73,2
74,1
74,10
74,3
75,7
75,1
75,2
75,6
76,2
76,5
76,10
76,6
76,8
77,3
77,6
78,3
79,3
79,5
79,8
80,7
80,1
80,3
80,9
81,3
81,8
82,2
83,9
83,6
83,5
83,7
84,9
84,10
84,8
84,7
84,3
85,8
85,5
85,7
85,2
86,5
86,8
86,9
86,2
86,3
87,9
87,2
87,6
87,4
87,5
88,9
88,7
89,6
90,3
90,4
91,4
91,6
91,9
92,10
92,4
92,2
92,5
93,4
93,9
93,5
93,8
93,3
94,10
94,1
94,9
95,1
95,6
95,7
96,9
96,8
96,10
96,4
97,10
97,3
97,2
97,7
97,9
98,8
98,5
98,1
99,5
99,6
99,8
99,9
99,3
100,5
100,7
100,1
