worker,latitude,longitude
1,22.5525,89.8742
2,37.1456,93.2197
3,25.0663,96.5095
4,32.0765,68.7748
5,33.2506,89.1015
6,32.2118,77.8535
7,14.2039,91.7182
8,32.1895,76.3133
9,22.4467,78.6636
10,34.4884,74.1193
11,17.043,97.1618
12,26.0194,69.0772
13,22.0236,78.2277
14,8.7439,90.2109
15,20.9858,82.9652
16,28.8943,71.9082
17,30.0693,84.6613
18,26.0984,81.8089
19,9.4044,88.6235
20,12.2162,96.9077
21,22.4624,96.5175
22,11.9111,78.8358
23,36.1237,82.876
24,25.6895,72.3944
25,35.6935,83.0951
26,33.4386,87.9327
27,29.0836,92.1084
28,28.9622,87.344
29,37.1872,86.5779
30,28.9205,80.1143
31,26.719,90.2452
32,11.3884,92.3171
33,33.1751,78.7324
34,9.2869,87.97
35,27.4362,96.1791
36,20.7656,86.0056
37,11.9056,85.3685
38,20.2043,93.7241
39,29.5455,81.1092
40,27.6916,87.7447
41,36.9962,93.3028
42,14.9509,84.5122
43,34.5245,74.9462
44,25.9302,96.6471
45,16.1267,78.5992
46,18.8269,82.2224
47,33.7757,96.2412
48,9.4399,70.8151
49,24.4516,73.0512
50,31.8761,94.4583
51,36.4353,82.5831
52,24.1501,97.2436
53,13.0789,75.9734
54,25.6229,70.0452
55,14.0493,74.7299
56,13.9209,84.8935
57,35.6024,91.9686
58,27.108,72.3342
59,31.0994,96.7271
60,33.3379,78.1352
61,28.2746,78.2188
62,12.0403,95.3357
63,13.4874,73.5077
64,9.3448,94.1142
65,28.8174,91.9006
66,27.0797,73.6809
67,24.7989,83.5117
68,28.3714,74.1183
69,32.9613,80.7691
70,15.6532,73.9322
71,31.329,73.0268
72,26.573,96.0231
73,11.4825,71.8184
74,37.2332,89.907
75,22.1957,88.4544
76,22.0084,80.5063
77,10.2277,77.0705
78,12.6396,80.1605
79,30.7618,86.9476
80,20.0154,93.3147
81,11.4938,96.212
82,18.9781,95.8182
83,25.688,73.5646
84,14.9469,73.3752
85,34.9722,69.8286
86,10.6262,84.0297
87,14.7296,80.967
88,24.641,90.4244
89,27.3433,70.6607
90,35.9236,92.8316
91,12.5917,88.5554
92,23.4331,78.1642
93,15.6724,82.2639
94,29.5428,96.1788
95,19.6722,77.6393
96,33.1878,70.0867
97,17.7257,78.9451
98,19.9138,75.9906
99,14.6002,81.6965
100,33.6059,72.0118
101,18.3703,91.747
102,17.0402,69.886
103,34.0812,90.7877
104,23.1413,77.1252
105,11.4768,76.8566
106,12.3631,80.213
107,25.0844,80.6661
108,11.3177,78.267
109,22.2882,91.4109
110,14.9371,81.9092
111,13.2465,74.9083
112,28.4938,76.9063
113,12.9212,80.6173
114,24.3424,71.219
115,31.3816,89.176
116,25.2332,95.6544
117,15.9357,96.4662
118,23.3589,82.7729
119,9.8776,92.3214
120,34.1749,87.8791
121,17.4017,81.075
122,14.594,84.5461
123,28.3737,80.9037
124,17.5439,70.5368
125,9.5381,96.9932
126,14.3531,70.168
127,35.1364,82.0168
128,27.4733,82.6598
129,15.1319,71.581
130,24.0333,91.7505
131,14.1119,73.0082
132,29.9021,94.049
133,24.2619,93.8659
134,10.2482,93.2842
135,23.4815,73.1203
136,9.8002,86.3323
137,11.0311,70.4952
138,27.1038,93.5957
139,21.296,85.2275
140,23.9702,69.9221
141,36.8954,72.8521
142,9.5725,83.4671
143,22.2894,86.8193
144,26.9503,73.8392
145,34.1666,69.9438
146,24.9242,70.5653
147,20.9274,91.8254
148,22.4053,86.6364
149,11.5124,89.119
150,30.1869,83.2834
