worker,cost
1,8.688
2,5.455
3,5.482
4,6.254
5,7.633
6,6.936
7,7.437
8,7.487
9,7.606
10,6.977
11,9.207
12,6.701
13,8.818
14,7.749
15,8.122
16,9.224
17,9.845
18,5.665
19,5.153
20,9.51
21,8.202
22,8.692
23,7.517
24,8.834
25,9.698
26,9.876
27,6.465
28,7.084
29,5.701
30,9.216
31,7.486
32,9.406
33,5.334
34,6.021
35,8.884
36,5.651
37,6.765
38,6.48
39,7.867
40,6.329
41,5.379
42,5.392
43,5.771
44,9.87
45,6.882
46,9.106
47,8.702
48,6.469
49,6.05
50,8.765
51,9.261
52,5.515
53,5.359
54,7.682
55,5.331
56,8.684
57,9.12
58,9.732
59,5.606
60,5.864
61,8.825
62,9.988
63,6.084
64,6.997
65,8.521
66,7.678
67,5.802
68,8.713
69,7.575
70,6.09
71,8.493
72,5.621
73,6.138
74,9.607
75,8.445
76,8.598
77,9.241
78,7.468
79,5.042
80,8.965
81,6.13
82,9.271
83,9.263
84,6.18
85,7.478
86,9.099
87,6.448
88,7.817
89,6.361
90,8.526
91,6.967
92,5.59
93,9.218
94,5.067
95,7.979
96,6.693
97,5.086
98,8.031
99,7.596
100,7.331
101,7.656
102,5.275
103,9.421
104,5.794
105,7.707
106,6.332
107,9.842
108,6.186
109,7.277
110,8.992
111,6.934
112,5.959
113,7.662
114,5.78
115,8.327
116,6.418
117,9.44
118,5.836
119,8.109
120,7.187
121,6.281
122,9.436
123,6.022
124,9.331
125,6.197
126,6.581
127,7.197
128,6.436
129,5.399
130,6.398
131,7.596
132,6.058
133,9.232
134,5.246
135,9.771
136,5.107
137,9.585
138,9.082
139,5.634
140,9.659
141,7.906
142,5.082
143,5.536
144,7.297
145,7.321
146,6.664
147,6.815
148,7.398
149,9.159
150,5.606
151,6.847
152,7.996
153,9.023
154,8.71
155,5.476
156,5.33
157,9.963
158,8.514
159,7.184
160,8.169
161,8.372
162,9.087
163,6.515
164,9.681
165,9.324
166,9.561
167,7.246
168,5.954
169,7.203
170,9.7
171,6.763
172,5.877
173,7.758
174,5.849
175,7.662
176,5.836
177,8.544
178,7.172
179,9.302
180,7.797
181,7.659
182,7.125
183,5.176
184,7.594
185,7.714
186,7.314
187,8.607
188,5.472
189,9.003
190,9.764
191,6.094
192,6.135
193,5.769
194,6.124
195,8.83
196,9.29
197,6.961
198,5.833
199,6.62
200,6.708
