worker,range
1,9217.321
2,9097.683
3,9916.67
4,8205.719
5,8788.584
6,8394.413
7,9900.283
8,9441.339
9,8300.068
10,8070.385
11,9682.714
12,8129.097
13,8716.493
14,9035.796
15,9813.851
16,8351.522
17,8720.853
18,9036.0
19,9890.808
20,9765.432
21,8112.697
22,9529.269
23,9233.542
24,9422.199
25,8662.569
26,9476.266
27,9018.614
28,8810.582
29,9930.639
30,9413.808
31,9546.399
32,9479.19
33,9568.485
34,9306.15
35,8990.877
36,8219.074
37,8198.669
38,8906.699
39,9219.052
40,9218.124
41,8156.054
42,9397.169
43,8695.019
44,8445.952
45,8405.488
46,8412.715
47,8449.637
48,9410.145
49,8412.701
50,8766.091
51,8958.929
52,9737.737
53,8456.717
54,9513.661
55,8304.784
56,9419.747
57,8034.432
58,8427.902
59,9167.024
60,8623.259
61,9564.277
62,8576.943
63,8082.603
64,8227.007
65,9967.961
66,8519.672
67,9107.926
68,8695.407
69,9557.988
70,8308.408
71,8442.21
72,9510.742
73,9821.462
74,8339.552
75,9433.666
76,9087.415
77,8453.633
78,8863.361
79,8813.378
80,8216.936
81,8591.682
82,8648.917
83,8942.439
84,9058.423
85,9363.333
86,9905.584
87,9864.753
88,8012.532
89,9202.129
90,9727.352
91,8857.553
92,8534.663
93,9321.847
94,8558.129
95,9345.018
96,9789.336
97,8839.592
98,8290.438
99,8378.459
100,8396.902
101,9931.299
102,9893.096
103,8739.309
104,9082.569
105,8451.829
106,9234.671
107,9255.477
108,8770.077
109,8630.34
110,9136.725
111,8690.1
112,8172.972
113,8789.308
114,9154.685
115,8334.867
116,8052.237
117,8780.386
118,9849.145
119,8786.392
120,8466.873
121,8774.674
122,9989.649
123,8064.548
124,9359.299
125,9250.988
126,9537.273
127,9035.939
128,8626.565
129,9080.669
130,9288.694
131,8813.329
132,8461.529
133,9725.163
134,9699.862
135,8686.585
136,8167.387
137,9267.438
138,9545.004
139,8078.88
140,9694.124
141,9335.525
142,9629.77
143,8074.3
144,8950.077
145,9776.944
146,9156.502
147,9573.221
148,8150.967
149,9486.207
150,8278.236
151,9710.048
152,8986.141
153,9120.054
154,8435.46
155,9561.077
156,9912.309
157,8537.195
158,8543.999
159,8547.461
160,9750.652
161,8380.355
162,9590.057
163,8716.236
164,8131.414
165,9141.191
166,9096.591
167,8315.567
168,9268.285
169,9243.519
170,8985.416
171,8140.265
172,9863.404
173,9709.786
174,9448.281
175,9830.511
176,9736.986
177,9586.874
178,9100.876
179,9824.528
180,8111.793
181,9933.118
182,9129.792
183,8097.126
184,8590.84
185,9475.48
186,8432.041
187,8129.499
188,9886.667
189,9359.007
190,8172.215
191,8742.451
192,9728.597
193,8069.447
194,8031.585
195,9679.623
196,8592.466
197,9021.107
198,8180.968
199,9210.314
200,8664.494
201,8577.971
202,8988.653
203,9496.882
204,8452.44
205,8092.248
206,8228.191
207,9726.41
208,9699.166
209,8649.838
210,9614.165
211,8241.621
212,9430.389
213,9907.95
214,9906.94
215,9279.722
216,8157.232
217,9537.354
218,8935.179
219,9171.674
220,9809.123
221,8708.003
222,9042.573
223,8863.903
224,8837.087
225,8177.853
226,8008.805
227,8942.225
228,9571.023
229,9427.604
230,9457.045
231,9386.889
232,8221.279
233,8106.319
234,9091.238
235,9695.415
236,8428.95
237,9927.661
238,8197.409
239,9780.496
240,9619.062
241,9621.874
242,8681.007
243,9448.371
244,9477.958
245,9545.778
246,9842.43
247,8837.74
248,9858.26
249,8940.1
250,8242.306
