task,budget
1,254551.495
2,361898.165
3,230296.172
4,432825.433
5,261346.989
6,319468.708
7,299726.301
8,385573.708
9,440599.79
10,485866.845
11,416738.646
12,338706.175
13,431423.22
14,437522.777
15,291866.54
16,395101.864
17,443599.135
18,267003.502
19,230826.426
20,339470.476
21,460486.044
22,292697.655
23,459897.88
24,342672.868
25,334542.187
26,359460.217
27,203811.027
28,433650.65
29,482567.924
30,498152.245
31,384778.461
32,338720.351
33,353454.395
34,382202.402
35,261745.417
36,351679.32
37,466412.606
38,323104.115
39,419458.237
40,262452.737
41,399708.67
42,354452.283
43,266039.613
44,273681.18
45,278033.583
46,393204.535
47,298814.19
48,307235.06
49,240889.792
50,222515.422
51,265260.072
52,333159.886
53,317044.006
54,241325.928
55,283815.208
56,365497.675
57,412652.808
58,361426.021
59,250679.258
60,451698.593
61,230047.421
62,265314.682
63,347218.797
64,280520.862
65,260659.143
66,401621.988
67,496674.573
68,354065.677
69,421947.015
70,223158.52
71,251394.507
72,339388.743
73,494101.748
74,301353.256
75,399007.023
76,430373.399
77,211669.456
78,354516.712
79,378494.038
80,374492.885
81,431780.229
82,397582.525
83,472075.63
84,464075.051
85,349687.236
86,227756.923
87,459636.48
88,491246.318
89,441477.43
90,417281.289
91,241272.283
92,408207.916
93,346633.505
94,497786.627
95,396204.38
96,441534.779
97,394780.961
98,334468.306
99,316664.499
100,368280.554
