task,latitude,longitude
1,13.0747,77.5172
2,13.02,77.5643
3,12.9441,77.5902
4,13.0991,77.6775
5,12.9346,77.6755
6,12.9631,77.6056
7,12.9333,77.5949
8,12.9845,77.5537
9,12.9474,77.6169
10,13.0087,77.6419
11,13.0007,77.5532
12,13.0145,77.6962
13,12.9089,77.5448
14,12.9203,77.6134
15,13.0015,77.6571
16,12.9667,77.5223
17,12.9426,77.5596
18,12.9551,77.5673
19,12.9225,77.6372
20,12.9502,77.682
21,12.9155,77.6577
22,13.0143,77.5004
23,13.0244,77.6455
24,13.0457,77.5601
25,13.0962,77.6252
26,13.0219,77.5558
27,13.0222,77.5807
28,12.9471,77.6115
29,13.0749,77.5241
30,12.9133,77.5118
31,12.9042,77.6142
32,13.0704,77.5114
33,12.9242,77.5535
34,13.0526,77.5689
35,12.9622,77.5476
36,13.0366,77.6753
37,12.9085,77.524
38,12.9194,77.5338
39,12.905,77.5918
40,12.9901,77.6682
41,13.01,77.5256
42,12.9895,77.6112
43,13.0531,77.5155
44,12.9786,77.6405
45,13.0001,77.6944
46,12.9567,77.6392
47,12.9814,77.551
48,13.0633,77.5657
49,13.0638,77.6496
50,13.0968,77.5266
51,12.9402,77.5486
52,12.9103,77.6408
53,13.0598,77.6511
54,12.9889,77.661
55,13.0537,77.6287
56,13.0453,77.5441
57,13.0253,77.534
58,13.0429,77.6141
59,12.9794,77.654
60,13.0462,77.5582
61,13.0335,77.6547
62,13.0055,77.5224
63,12.9769,77.6557
64,13.0139,77.5028
65,12.9827,77.6877
66,12.9593,77.6704
67,13.0757,77.6651
68,12.9553,77.649
69,12.9507,77.6644
70,12.9649,77.6565
71,13.0025,77.6066
72,13.0515,77.6174
73,13.09,77.617
74,13.0454,77.5352
75,12.9494,77.5223
76,13.024,77.5656
77,12.948,77.5439
78,13.0721,77.695
79,13.0587,77.6992
80,13.0852,77.5724
81,12.9792,77.6343
82,13.0438,77.5309
83,13.06,77.5959
84,13.0731,77.508
85,12.9199,77.647
86,12.9108,77.5299
87,12.9011,77.6364
88,13.0934,77.5885
89,13.0893,77.5983
90,12.9033,77.6473
91,12.9073,77.6232
92,12.962,77.625
93,13.0438,77.6442
94,13.0581,77.631
95,12.9776,77.6678
96,12.988,77.662
97,13.0795,77.527
98,12.9671,77.6531
99,13.0081,77.6676
100,13.0333,77.5264
