task,req_skill
1,5
1,10
2,8
2,3
3,3
3,1
3,4
4,10
4,9
5,8
6,9
7,6
7,2
8,2
8,5
9,5
9,1
10,9
10,10
10,5
11,3
11,7
11,10
12,7
12,1
13,8
13,9
14,5
14,3
15,9
15,8
15,5
16,3
16,4
17,1
17,5
17,3
18,2
19,3
19,9
19,4
20,7
20,3
21,10
21,4
21,2
22,6
23,1
23,6
24,6
24,5
24,2
25,7
26,9
26,3
27,1
28,10
28,2
29,8
30,3
30,7
31,5
31,2
32,6
33,9
33,3
33,8
34,10
34,4
35,3
36,10
36,3
37,3
37,9
38,8
39,4
40,10
40,1
41,7
41,4
42,6
43,9
43,8
43,10
44,4
44,5
44,9
45,2
45,6
46,10
47,8
47,3
47,9
48,1
48,3
49,3
50,7
51,2
51,8
51,1
52,5
52,9
53,4
54,1
54,4
54,9
55,5
56,9
56,2
57,3
57,6
57,8
58,7
59,5
59,2
59,10
60,9
61,2
61,1
61,6
62,7
63,4
64,6
64,8
65,8
66,7
66,8
66,10
67,7
67,4
68,9
68,10
68,7
69,8
69,5
69,1
70,6
71,2
71,8
71,10
72,9
72,10
73,10
73,8
73,5
74,3
74,1
75,1
76,4
77,8
77,1
78,1
79,1
80,4
81,3
82,2
83,4
83,8
84,1
84,8
85,2
85,7
85,9
86,9
87,10
87,9
88,6
89,2
90,9
90,6
91,9
92,2
93,7
93,9
94,7
94,6
94,5
95,8
95,4
95,3
96,8
97,3
97,8
97,4
98,2
98,5
99,10
99,1
100,7
100,6
100,9
