worker,range
1,34
2,30
3,91
4,65
5,23
6,60
7,78
8,51
9,22
10,94
11,23
12,46
13,85
14,39
15,50
16,98
17,60
18,44
19,23
20,85
21,26
22,47
23,54
24,77
25,23
26,21
27,74
28,29
29,81
30,24
31,82
32,53
33,78
34,94
35,33
36,28
37,67
38,72
39,60
40,79
41,67
42,91
43,38
44,40
45,79
46,29
47,92
48,57
49,32
50,41
51,83
52,46
53,55
54,81
55,53
56,71
57,55
58,94
59,28
60,60
61,67
62,98
63,78
64,30
65,73
66,85
67,46
68,63
69,60
70,42
71,46
72,25
73,61
74,47
75,20
76,58
77,41
78,61
79,58
80,43
81,65
82,89
83,29
84,81
85,51
86,33
87,77
88,34
89,78
90,26
91,73
92,38
93,20
94,36
95,76
96,78
97,22
98,99
99,94
100,21
