worker,skill
1,1
1,2
1,3
2,4
2,3
2,8
2,6
3,8
4,2
5,1
5,3
6,3
6,10
6,8
7,10
8,3
8,6
9,8
9,2
9,1
9,6
10,1
10,3
10,6
11,1
11,6
12,5
12,8
12,10
13,3
13,2
14,1
14,2
15,7
16,4
17,6
17,4
17,10
18,8
19,2
20,9
20,8
21,5
22,10
22,2
23,6
23,3
23,4
24,9
24,3
24,4
24,1
25,9
25,7
25,10
26,5
26,9
26,6
27,1
27,5
27,10
28,7
29,8
29,9
30,9
30,2
30,8
31,3
31,4
31,7
32,9
32,7
33,6
34,7
34,6
35,3
36,9
37,10
37,2
37,6
38,6
38,1
38,2
38,4
39,10
39,7
39,5
40,8
40,6
40,2
40,3
41,6
41,8
41,1
42,10
43,6
44,7
44,5
44,3
44,9
45,6
45,4
45,1
45,9
46,10
46,6
46,5
46,9
47,10
48,3
48,4
48,2
49,10
49,2
50,7
50,6
51,6
51,7
52,6
52,8
52,10
53,2
53,4
53,1
54,8
55,8
55,2
55,1
55,4
56,5
56,9
56,6
57,1
58,7
58,2
58,3
59,5
59,10
60,1
60,7
61,2
61,6
61,5
62,2
62,3
63,5
63,9
63,1
64,10
64,9
64,6
65,9
65,8
65,3
66,3
66,6
67,7
67,1
67,6
67,8
68,5
68,4
68,7
68,2
69,1
69,10
70,3
70,4
70,2
70,1
71,10
71,8
71,3
71,6
72,3
72,4
72,7
73,9
73,10
73,4
73,6
74,7
74,4
74,10
74,3
75,8
75,1
75,5
75,10
76,1
76,7
76,3
77,7
77,2
78,5
78,1
78,7
79,6
79,1
79,10
80,5
81,1
81,7
81,2
82,7
82,4
82,1
83,9
83,7
83,3
84,10
84,7
84,4
85,1
85,10
85,8
86,4
86,1
87,7
87,3
87,10
88,4
88,9
89,10
89,3
89,5
90,5
90,6
90,9
90,2
91,6
92,4
92,8
92,3
92,10
93,3
94,5
94,8
94,10
94,6
95,2
95,3
95,8
95,6
96,9
97,2
97,8
98,5
98,3
98,4
99,9
99,3
99,1
100,2
100,1
100,10
100,4
