worker,task
1,26
1,41
2,55
3,63
3,1
3,12
3,62
4,89
4,25
4,100
5,92
6,75
8,29
9,27
9,49
9,67
9,73
9,3
10,70
10,80
10,56
11,8
11,33
11,3
11,75
12,2
12,29
12,19
13,53
15,45
16,5
16,69
16,33
17,90
17,51
18,2
18,29
18,74
18,5
19,95
19,63
19,13
20,72
20,49
20,73
20,76
20,65
22,90
22,97
22,89
22,75
23,62
23,45
23,95
23,96
24,85
25,92
26,11
26,63
26,54
26,1
26,22
27,94
27,98
27,67
27,82
27,52
28,80
28,50
28,85
28,28
29,81
29,6
30,28
30,98
31,46
31,10
31,44
31,33
32,68
32,53
32,43
32,44
32,88
33,45
34,37
34,59
35,83
35,86
35,51
35,79
35,70
36,87
36,35
36,100
36,52
36,96
38,96
39,86
39,35
40,53
40,6
40,60
40,81
41,81
43,52
43,63
43,34
44,43
45,62
46,45
47,22
47,10
47,26
48,43
48,20
49,21
50,51
50,36
50,26
50,39
51,58
52,69
52,75
52,95
52,83
53,18
53,97
54,83
54,1
54,20
56,62
56,38
56,94
56,57
56,88
57,57
57,5
57,42
57,79
57,22
58,42
58,6
58,69
60,71
60,38
60,83
60,21
61,65
61,95
61,100
62,98
62,28
63,40
63,38
63,80
63,16
63,28
64,53
64,90
64,97
65,79
65,100
65,35
65,77
65,66
66,87
67,8
67,31
67,14
67,62
69,68
70,90
71,98
71,72
71,11
71,21
71,62
72,40
72,54
74,10
74,39
74,49
74,11
75,91
75,70
75,10
76,81
76,56
76,42
78,16
78,29
78,20
79,72
79,73
80,70
80,46
80,21
80,66
81,54
81,43
81,97
82,90
82,67
82,17
82,58
82,43
83,76
84,62
84,49
84,1
84,8
85,58
85,6
85,59
86,22
86,48
86,57
86,36
86,54
87,94
88,23
88,29
88,7
92,23
92,56
92,71
92,38
93,69
93,48
93,88
93,23
93,84
95,50
95,17
95,58
96,45
96,77
96,88
96,79
97,84
97,33
97,34
97,59
97,17
98,58
98,19
98,94
98,48
99,5
99,62
99,35
100,53
